day,cars_reserved_de,bookmarks_de
2019-06-12,12,18
2019-06-13,12,9
2019-06-14,8,26
2019-06-15,2,152
2019-06-16,0,25
2019-06-17,9,37
2019-06-18,8,17
2019-06-19,8,8
2019-06-20,4,45
2019-06-21,13,9
2019-06-22,3,8
2019-06-23,0,7
2019-06-24,14,2
2019-06-25,9,2
2019-06-26,11,17
2019-06-27,12,23
2019-06-28,6,21
2019-06-29,3,5
2019-06-30,1,10
2019-07-01,8,4
2019-07-02,13,9
2019-07-03,10,21
2019-07-04,14,36
2019-07-05,16,30
2019-07-06,4,23
2019-07-07,1,5
2019-07-08,10,18
2019-07-09,17,24
2019-07-10,12,12
2019-07-11,3,25
2019-07-12,7,21
2019-07-13,3,42
2019-07-14,0,20
2019-07-15,12,6
2019-07-16,9,12
2019-07-17,3,1
2019-07-18,6,5
2019-07-19,8,6
2019-07-20,1,6
2019-07-21,0,58
2019-07-22,13,20
2019-07-23,11,6
2019-07-24,5,7
2019-07-25,17,12
2019-07-26,6,3
2019-07-27,2,2
2019-07-28,0,3
2019-07-29,5,3
2019-07-30,12,13
2019-07-31,3,21
2019-08-01,11,18
2019-08-02,12,3
2019-08-03,1,4
2019-08-04,0,5
2019-08-05,33,14
2019-08-06,35,15
2019-08-07,41,62
2019-08-08,34,7
2019-08-09,19,11
2019-08-10,3,16
2019-08-11,0,7
2019-08-12,10,35
2019-08-13,13,10
2019-08-14,7,12
2019-08-15,9,2
2019-08-16,15,10
2019-08-17,4,104
2019-08-18,1,5
2019-08-19,13,18
2019-08-20,13,3
2019-08-21,11,24
2019-08-22,14,8
2019-08-23,20,19
2019-08-24,7,2
2019-08-25,1,21
2019-08-26,15,13
2019-08-27,17,22
2019-08-28,28,23
2019-08-29,9,6
2019-08-30,10,43
2019-08-31,4,6
2019-09-01,0,8
2019-09-02,22,7
2019-09-03,16,37
2019-09-04,14,34
2019-09-05,15,7
2019-09-06,15,10
2019-09-07,5,17
2019-09-08,0,2
2019-09-09,20,10
2019-09-10,18,2
2019-09-11,17,14
2019-09-12,12,15
2019-09-13,9,7
2019-09-14,4,41
2019-09-15,2,1
2019-09-16,13,5
2019-09-17,11,2
2019-09-18,11,14
2019-09-19,11,14
2019-09-20,11,45
2019-09-21,1,8
2019-09-22,0,18
2019-09-23,10,19
2019-09-24,13,6
2019-09-25,18,21
2019-09-26,17,26
2019-09-27,12,24
2019-09-28,7,7
2019-09-29,0,11
2019-09-30,15,11
2019-10-01,14,44
2019-10-02,21,10
2019-10-03,2,28
2019-10-04,16,36
2019-10-05,4,11
2019-10-06,2,16
2019-10-07,18,6
2019-10-08,16,32
2019-10-09,18,11
2019-10-10,17,12
2019-10-11,16,2
2019-10-12,8,4
2019-10-13,0,2
2019-10-14,18,12
2019-10-15,15,11
2019-10-16,12,16
2019-10-17,10,8
2019-10-18,12,12
2019-10-19,4,20
2019-10-20,0,11
2019-10-21,22,25
2019-10-22,15,11
2019-10-23,15,16
2019-10-24,14,6
2019-10-25,12,35
2019-10-26,5,53
2019-10-27,3,16
2019-10-28,27,9
2019-10-29,16,14
2019-10-30,9,9
2019-10-31,18,8
2019-11-01,13,24
2019-11-02,2,5
2019-11-03,0,38
2019-11-04,15,7
2019-11-05,13,55
2019-11-06,11,24
2019-11-07,10,29
2019-11-08,11,26
2019-11-09,7,1
2019-11-10,2,29
2019-11-11,15,7
2019-11-12,17,10
2019-11-13,15,9
2019-11-14,16,8
2019-11-15,12,22
2019-11-16,9,31
2019-11-17,1,5
2019-11-18,18,13
2019-11-19,13,24
2019-11-20,14,25
2019-11-21,8,7
2019-11-22,14,17
2019-11-23,6,8
2019-11-24,1,14
2019-11-25,19,11
2019-11-26,22,4
2019-11-27,13,11
2019-11-28,8,39
2019-11-29,12,10
2019-11-30,7,5
2019-12-01,1,30
2019-12-02,16,7
2019-12-03,15,25
2019-12-04,26,12
2019-12-05,8,1
2019-12-06,14,22
2019-12-07,7,33
2019-12-08,0,25
2019-12-09,22,12
2019-12-10,16,29
2019-12-11,17,42
2019-12-12,13,13
2019-12-13,6,12
2019-12-14,5,3
2019-12-15,0,53
2019-12-16,13,20
2019-12-17,8,10
2019-12-18,7,15
2019-12-19,18,18
2019-12-20,14,16
2019-12-21,3,22
2019-12-22,1,33
2019-12-23,12,23
2019-12-24,0,9
2019-12-25,0,3
2019-12-26,0,25
2019-12-27,9,11
2019-12-28,4,18
2019-12-29,1,17
2019-12-30,7,26
2019-12-31,1,3
2020-01-01,1,3
2020-01-02,7,8
2020-01-03,6,25
2020-01-04,5,13
2020-01-05,0,19
2020-01-06,13,17
2020-01-07,14,40
2020-01-08,27,20
2020-01-09,24,22
2020-01-10,24,15
2020-01-11,6,16
2020-01-12,0,14
2020-01-13,24,16
2020-01-14,19,17
2020-01-15,16,141
2020-01-16,15,35
2020-01-17,20,55
2020-01-18,9,8
2020-01-19,1,63
2020-01-20,16,7
2020-01-21,19,42
2020-01-22,14,61
2020-01-23,13,38
2020-01-24,21,12
2020-01-25,9,10
2020-01-26,0,14
2020-01-27,28,22
2020-01-28,17,33
2020-01-29,17,17
2020-01-30,18,10
2020-01-31,8,78
2020-02-01,10,58
2020-02-02,0,12
2020-02-03,16,10
2020-02-04,16,28
2020-02-05,19,4
2020-02-06,15,37
2020-02-07,22,24
2020-02-08,12,12
2020-02-09,0,25
2020-02-10,7,10
2020-02-11,18,29
2020-02-12,22,21
2020-02-13,6,45
2020-02-14,15,21
2020-02-15,6,13
2020-02-16,1,6
2020-02-17,18,45
2020-02-18,21,8
2020-02-19,13,27
2020-02-20,14,27
2020-02-21,17,12
2020-02-22,4,9
2020-02-23,0,45
2020-02-24,10,22
2020-02-25,9,41
2020-02-26,19,16
2020-02-27,14,7
2020-02-28,14,11
2020-02-29,9,29
2020-03-01,0,20
2020-03-02,9,21
2020-03-03,13,44
2020-03-04,19,62
2020-03-05,7,38
2020-03-06,14,19
2020-03-07,4,23
2020-03-08,0,22
2020-03-09,10,8
2020-03-10,13,17
2020-03-11,7,12
2020-03-12,5,18
2020-03-13,3,7
2020-03-14,3,7
2020-03-15,0,18
2020-03-16,3,27
2020-03-17,4,0
2020-03-18,1,22
2020-03-19,2,21
2020-03-20,2,8
2020-03-21,0,1
2020-03-22,0,7
2020-03-23,0,1
2020-03-24,0,11
2020-03-25,1,0
2020-03-26,8,15
2020-03-27,13,7
2020-03-28,2,14
2020-03-29,0,17
2020-03-30,12,40
2020-03-31,16,35
2020-04-01,10,4
2020-04-02,3,40
2020-04-03,5,6
2020-04-04,0,16
2020-04-05,0,70
2020-04-06,7,14
2020-04-07,7,24
2020-04-08,9,33
2020-04-09,5,13
2020-04-10,1,29
2020-04-11,1,3
2020-04-12,2,6
2020-04-13,0,7
2020-04-14,7,11
2020-04-15,4,1
2020-04-16,4,4
2020-04-17,2,24
2020-04-18,2,9
2020-04-19,0,3
2020-04-20,4,1
2020-04-21,2,2
2020-04-22,2,9
2020-04-23,4,3
2020-04-24,3,5
2020-04-25,2,6
2020-04-26,1,21
2020-04-27,1,19
2020-04-28,9,4
2020-04-29,7,14
2020-04-30,6,14
2020-05-01,0,7
2020-05-02,1,13
2020-05-03,1,6
2020-05-04,8,11
2020-05-05,8,4
2020-05-06,14,16
2020-05-07,17,34
2020-05-08,3,28
2020-05-09,2,8
2020-05-10,1,4
2020-05-11,5,2
2020-05-12,3,5
2020-05-13,9,7
2020-05-14,7,17
2020-05-15,8,29
2020-05-16,5,6
2020-05-17,0,31
2020-05-18,3,10
2020-05-19,8,7
2020-05-20,8,6
2020-05-21,1,6
2020-05-22,3,4
2020-05-23,2,10
2020-05-24,1,20
2020-05-25,9,21
2020-05-26,6,10
2020-05-27,8,8
2020-05-28,11,1
2020-05-29,6,5
2020-05-30,0,6
2020-05-31,0,15
2020-06-01,0,30
2020-06-02,6,1
2020-06-03,3,12
2020-06-04,7,18
2020-06-05,8,18
2020-06-06,5,11
2020-06-07,1,19
2020-06-08,11,25
2020-06-09,11,2
2020-06-10,6,19
2020-06-11,4,25
2020-06-12,7,8
2020-06-13,3,6
2020-06-14,0,2
2020-06-15,3,25
2020-06-16,8,9
2020-06-17,9,4
2020-06-18,6,2
2020-06-19,5,2
2020-06-20,7,5
2020-06-21,0,17
2020-06-22,7,3
2020-06-23,6,5
2020-06-24,10,46
2020-06-25,6,16
2020-06-26,12,46
2020-06-27,2,38
2020-06-28,1,18
2020-06-29,7,14
2020-06-30,9,8
2020-07-01,12,9
2020-07-02,8,14
2020-07-03,16,15
2020-07-04,3,38
2020-07-05,1,3
2020-07-06,14,18
2020-07-07,13,7
2020-07-08,16,28
2020-07-09,13,25
2020-07-10,11,8
2020-07-11,5,5
2020-07-12,1,11
2020-07-13,14,12
2020-07-14,11,7
2020-07-15,8,12
2020-07-16,5,23
2020-07-17,7,19
2020-07-18,5,7
2020-07-19,3,22
2020-07-20,10,21
2020-07-21,11,5
2020-07-22,13,28
2020-07-23,9,13
2020-07-24,5,22
2020-07-25,7,26
2020-07-26,2,27
2020-07-27,15,21
2020-07-28,11,17
2020-07-29,16,20
2020-07-30,11,4
2020-07-31,8,51
2020-08-01,5,30
2020-08-02,1,4
2020-08-03,10,15
2020-08-04,6,11
2020-08-05,12,16
2020-08-06,13,14
2020-08-07,10,5
2020-08-08,5,11
2020-08-09,0,7
2020-08-10,8,26
2020-08-11,11,9
2020-08-12,10,2
2020-08-13,4,47
2020-08-14,12,8
2020-08-15,2,4
2020-08-16,1,41
2020-08-17,6,21
2020-08-18,10,59
2020-08-19,11,5
2020-08-20,10,13
2020-08-21,9,14
2020-08-22,5,35
2020-08-23,1,4
2020-08-24,12,2
2020-08-25,19,19
2020-08-26,24,30
2020-08-27,13,33
2020-08-28,13,12
2020-08-29,4,48
2020-08-30,0,17
2020-08-31,10,6
2020-09-01,14,20
2020-09-02,7,27
2020-09-03,8,15
2020-09-04,6,27
2020-09-05,5,19
2020-09-06,1,10
2020-09-07,16,40
2020-09-08,14,16
2020-09-09,11,36
2020-09-10,11,18
2020-09-11,10,17
2020-09-12,3,12
2020-09-13,4,26
2020-09-14,21,13
2020-09-15,9,12
2020-09-16,12,10
2020-09-17,15,14
2020-09-18,10,19
2020-09-19,7,13
2020-09-20,1,6
2020-09-21,14,5
2020-09-22,19,9
2020-09-23,5,34
2020-09-24,10,17
2020-09-25,2,21
2020-09-26,5,29
2020-09-27,4,38
2020-09-28,11,13
2020-09-29,13,6
2020-09-30,10,20
2020-10-01,13,38
2020-10-02,13,15
2020-10-03,3,12
2020-10-04,2,9
2020-10-05,14,18
2020-10-06,22,46
2020-10-07,11,18
2020-10-08,13,26
2020-10-09,13,7
2020-10-10,5,3
2020-10-11,4,12
2020-10-12,12,30
2020-10-13,13,18
2020-10-14,20,42
2020-10-15,6,13
2020-10-16,12,32
2020-10-17,4,18
2020-10-18,2,30
2020-10-19,8,30
2020-10-20,15,23
2020-10-21,11,31
2020-10-22,11,35
2020-10-23,8,63
2020-10-24,4,32
2020-10-25,2,43
2020-10-26,18,71
2020-10-27,14,16
2020-10-28,13,48
2020-10-29,15,73
2020-10-30,4,160
2020-10-31,5,31
2020-11-01,3,66
2020-11-02,14,178
2020-11-03,21,196
2020-11-04,17,256
2020-11-05,13,201
2020-11-06,17,305
2020-11-07,11,385
2020-11-08,1,548
2020-11-09,16,314
2020-11-10,14,280
2020-11-11,16,234
2020-11-12,15,298
2020-11-13,14,310
2020-11-14,7,289
2020-11-15,2,517
2020-11-16,18,95
2020-11-17,15,26
2020-11-18,10,32
2020-11-19,11,53
2020-11-20,8,40
2020-11-21,7,43
2020-11-22,2,60
2020-11-23,26,16
2020-11-24,16,206
2020-11-25,23,228
2020-11-26,21,180
2020-11-27,13,221
2020-11-28,10,326
2020-11-29,7,330
2020-11-30,22,171
2020-12-01,13,373
2020-12-02,17,317
2020-12-03,13,219
2020-12-04,16,354
2020-12-05,10,278
2020-12-06,5,475
2020-12-07,26,272
2020-12-08,24,206
2020-12-09,16,365
2020-12-10,11,225
2020-12-11,17,275
2020-12-12,14,287
2020-12-13,6,334
2020-12-14,17,180
2020-12-15,11,208
2020-12-16,17,233
2020-12-17,13,164
2020-12-18,11,239
2020-12-19,9,297
2020-12-20,6,339
2020-12-21,19,311
2020-12-22,7,332
2020-12-23,14,434
2020-12-24,5,309
2020-12-25,4,435
2020-12-26,4,460
2020-12-27,3,647
2020-12-28,25,453
2020-12-29,17,430
2020-12-30,29,484
2020-12-31,6,236
2021-01-01,6,400
2021-01-02,14,347
2021-01-03,5,461
2021-01-04,26,422
2021-01-05,26,387
2021-01-06,20,590
2021-01-07,20,362
2021-01-08,26,274
2021-01-09,15,421
2021-01-10,5,518
2021-01-11,28,446
2021-01-12,23,419
2021-01-13,29,268
2021-01-14,22,286
2021-01-15,24,350
2021-01-16,13,393
2021-01-17,6,550
2021-01-18,29,392
2021-01-19,27,459
2021-01-20,26,331
2021-01-21,21,340
2021-01-22,13,393
2021-01-23,17,536
2021-01-24,8,517
2021-01-25,21,491
2021-01-26,14,333
2021-01-27,22,351
2021-01-28,27,395
2021-01-29,39,697
2021-01-30,13,506
2021-01-31,15,503
2021-02-01,31,421
2021-02-02,28,430
2021-02-03,25,431
2021-02-04,28,544
2021-02-05,30,453
2021-02-06,16,587
2021-02-07,6,450
2021-02-08,34,540
2021-02-09,30,426
2021-02-10,21,468
2021-02-11,22,346
2021-02-12,21,360
2021-02-13,23,499
2021-02-14,10,568
2021-02-15,26,489
2021-02-16,17,445
2021-02-17,23,458
2021-02-18,20,398
2021-02-19,42,259
2021-02-20,14,400
2021-02-21,12,458
2021-02-22,30,409
2021-02-23,21,441
2021-02-24,34,431
2021-02-25,27,327
2021-02-26,35,411
2021-02-27,20,579
2021-02-28,17,591
2021-03-01,37,454
2021-03-02,30,327
2021-03-03,32,405
2021-03-04,33,542
2021-03-05,22,356
2021-03-06,23,544
2021-03-07,9,627
2021-03-08,30,455
2021-03-09,28,419
2021-03-10,22,360
2021-03-11,26,358
2021-03-12,22,531
2021-03-13,19,688
2021-03-14,10,697
2021-03-15,25,370
2021-03-16,18,549
2021-03-17,36,510
2021-03-18,23,495
2021-03-19,24,382
2021-03-20,14,523
2021-03-21,8,631
2021-03-22,32,408
2021-03-23,20,392
2021-03-24,23,643
2021-03-25,17,507
2021-03-26,23,403
2021-03-27,13,546
2021-03-28,8,479
2021-03-29,18,403
2021-03-30,17,380
2021-03-31,29,501
2021-04-01,16,372
2021-04-02,3,525
2021-04-03,15,395
2021-04-04,5,579
2021-04-05,8,626
2021-04-06,28,646
2021-04-07,24,330
2021-04-08,22,277
2021-04-09,30,364
2021-04-10,19,322
2021-04-11,9,493
2021-04-12,17,480
2021-04-13,17,679
2021-04-14,20,430
2021-04-15,22,521
2021-04-16,25,736
2021-04-17,11,513
2021-04-18,13,557
2021-04-19,25,445
2021-04-20,16,465
2021-04-21,31,490
2021-04-22,19,395
2021-04-23,18,415
2021-04-24,10,410
2021-04-25,6,540
2021-04-26,33,425
2021-04-27,34,510
2021-04-28,23,538
2021-04-29,21,416
2021-04-30,23,502
2021-05-01,7,569
2021-05-02,10,709
2021-05-03,24,404
2021-05-04,27,738
2021-05-05,29,655
2021-05-06,28,633
2021-05-07,20,509
2021-05-08,11,528
2021-05-09,6,387
2021-05-10,23,650
2021-05-11,25,604
2021-05-12,28,621
2021-05-13,12,603
2021-05-14,29,511
2021-05-15,13,615
2021-05-16,17,637
2021-05-17,30,563
2021-05-18,38,602
2021-05-19,34,402
2021-05-20,25,678
2021-05-21,26,458
2021-05-22,14,665
2021-05-23,12,843
2021-05-24,4,676
2021-05-25,34,475
2021-05-26,32,539
2021-05-27,24,601
2021-05-28,38,597
2021-05-29,16,536
2021-05-30,10,594
2021-05-31,29,536
2021-06-01,35,357
2021-06-02,33,508
2021-06-03,19,465
2021-06-04,25,497
2021-06-05,14,679
2021-06-06,11,623
2021-06-07,27,487
2021-06-08,28,547
2021-06-09,33,514
2021-06-10,19,521
2021-06-11,22,343
2021-06-12,16,350
2021-06-13,12,568
2021-06-14,30,525
2021-06-15,27,433
2021-06-16,25,435
2021-06-17,26,388
2021-06-18,23,487
2021-06-19,17,843
2021-06-20,7,623
2021-06-21,29,714
2021-06-22,36,528
2021-06-23,27,552
2021-06-24,24,533
2021-06-25,26,633
2021-06-26,20,592
2021-06-27,6,678
2021-06-28,30,686
2021-06-29,31,794
2021-06-30,24,585
2021-07-01,33,677
2021-07-02,33,622
2021-07-03,18,487
2021-07-04,6,661
2021-07-05,36,551
2021-07-06,30,677
2021-07-07,32,570
2021-07-08,25,574
2021-07-09,26,442
2021-07-10,16,548
2021-07-11,11,630
2021-07-12,31,597
2021-07-13,35,574
2021-07-14,36,792
2021-07-15,31,517
2021-07-16,31,555
2021-07-17,22,726
2021-07-18,11,735
2021-07-19,30,607
2021-07-20,34,581
2021-07-21,27,475
2021-07-22,30,779
2021-07-23,25,716
2021-07-24,21,540
2021-07-25,11,871
2021-07-26,27,785
2021-07-27,24,687
2021-07-28,31,696
2021-07-29,23,700
2021-07-30,34,542
2021-07-31,19,816
2021-08-01,11,776
2021-08-02,29,832
2021-08-03,39,722
2021-08-04,38,726
2021-08-05,30,807
2021-08-06,32,705
2021-08-07,28,835
2021-08-08,11,997
2021-08-09,32,680
2021-08-10,35,956
2021-08-11,32,566
2021-08-12,22,736
2021-08-13,30,507
2021-08-14,30,618
2021-08-15,11,905
2021-08-16,39,896
2021-08-17,33,774
2021-08-18,29,960
2021-08-19,23,757
2021-08-20,28,722
2021-08-21,14,702
2021-08-22,17,923
2021-08-23,38,845
2021-08-24,32,829
2021-08-25,27,578
2021-08-26,41,1014
2021-08-27,29,846
2021-08-28,18,570
2021-08-29,5,1096
2021-08-30,39,812
2021-08-31,36,791
2021-09-01,39,695
2021-09-02,26,671
2021-09-03,38,609
2021-09-04,19,674
2021-09-05,15,820
2021-09-06,46,776
2021-09-07,47,951
2021-09-08,37,737
2021-09-09,40,833
2021-09-10,53,906
2021-09-11,29,981
2021-09-12,12,1023
2021-09-13,53,804
2021-09-14,38,790
2021-09-15,36,1087
2021-09-16,37,778
2021-09-17,47,830
2021-09-18,31,824
2021-09-19,15,932
2021-09-20,51,1023
2021-09-21,40,909
2021-09-22,42,902
2021-09-23,36,821
2021-09-24,47,777
2021-09-25,31,917
2021-09-26,21,1027
2021-09-27,40,834
2021-09-28,51,1071
2021-09-29,41,1004
2021-09-30,36,722
2021-10-01,37,870
2021-10-02,34,704
2021-10-03,31,1183
2021-10-04,46,766
2021-10-05,64,1064
2021-10-06,47,1134
2021-10-07,49,1031
2021-10-08,52,1012
2021-10-09,40,966
2021-10-10,29,1468
2021-10-11,58,1235
2021-10-12,59,1311
2021-10-13,55,1372
2021-10-14,75,1197
2021-10-15,45,1125
2021-10-16,41,1649
2021-10-17,21,1582
2021-10-18,43,1121
2021-10-19,57,1313
2021-10-20,56,1322
2021-10-21,56,1466
2021-10-22,54,1357
2021-10-23,47,1378
2021-10-24,10,1475
2021-10-25,67,1330
2021-10-26,63,1694
2021-10-27,68,1521
2021-10-28,51,1535
2021-10-29,60,1423
2021-10-30,43,1935
2021-10-31,27,1730
2021-11-01,65,2209
2021-11-02,75,1739
2021-11-03,60,1754
2021-11-04,65,1533
2021-11-05,59,1526
2021-11-06,47,1712
2021-11-07,28,1771
2021-11-08,68,1491
2021-11-09,62,1523
2021-11-10,70,1245
2021-11-11,50,1361
2021-11-12,56,1511
2021-11-13,53,1912
2021-11-14,25,2059
2021-11-15,74,1559
2021-11-16,65,1759
2021-11-17,62,1414
2021-11-18,64,1145
2021-11-19,46,1536
2021-11-20,34,1519
2021-11-21,26,1779
2021-11-22,67,1915
2021-11-23,70,1546
2021-11-24,64,1561
2021-11-25,56,1834
2021-11-26,44,1357
2021-11-27,54,1530
2021-11-28,21,1696
2021-11-29,68,1559
2021-11-30,66,1492
2021-12-01,48,1410
2021-12-02,58,1417
2021-12-03,46,1303
2021-12-04,40,1837
2021-12-05,30,1929
2021-12-06,57,1593
2021-12-07,59,1856
2021-12-08,61,1815
2021-12-09,44,2019
2021-12-10,60,1486
2021-12-11,41,1996
2021-12-12,26,1966
2021-12-13,64,1606
2021-12-14,49,1612
2021-12-15,61,1584
2021-12-16,58,1450
2021-12-17,34,1633
2021-12-18,36,1547
2021-12-19,20,1878
2021-12-20,52,1188
2021-12-21,51,1434
2021-12-22,33,1621
2021-12-23,31,1385
2021-12-24,26,1012
2021-12-25,13,1693
2021-12-26,18,1813
2021-12-27,47,1982
2021-12-28,62,2158
2021-12-29,59,2403
2021-12-30,63,1926
2021-12-31,24,1360
2022-01-01,17,1857
2022-01-02,19,2662
2022-01-03,64,2477
2022-01-04,52,2531
2022-01-05,89,2449
2022-01-06,49,2143
2022-01-07,75,2319
2022-01-08,61,2171
2022-01-09,21,2548
2022-01-10,68,2338
2022-01-11,82,2181
2022-01-12,69,2090
2022-01-13,54,2234
2022-01-14,71,2153
2022-01-15,53,2089
2022-01-16,34,2751
2022-01-17,78,2166
2022-01-18,71,2083
2022-01-19,56,2181
2022-01-20,41,1773
2022-01-21,59,1895
2022-01-22,53,2346
2022-01-23,20,2783
2022-01-24,76,2191
2022-01-25,69,2140
2022-01-26,54,2310
2022-01-27,48,2072
2022-01-28,52,2034
2022-01-29,56,2128
2022-01-30,30,2388
2022-01-31,77,1951
2022-02-01,56,1811
2022-02-02,54,2009
2022-02-03,50,1595
2022-02-04,64,1782
2022-02-05,43,2438
2022-02-06,21,2221
2022-02-07,74,1980
2022-02-08,64,1904
2022-02-09,58,2103
2022-02-10,72,1770
2022-02-11,54,1809
2022-02-12,48,2174
2022-02-13,31,2033
2022-02-14,58,1764
2022-02-15,47,1779
2022-02-16,58,1880
2022-02-17,55,1886
2022-02-18,69,2159
2022-02-19,54,1889
2022-02-20,34,2323
2022-02-21,67,2060
2022-02-22,63,2113
2022-02-23,61,2071
2022-02-24,54,1621
2022-02-25,52,1668
2022-02-26,42,1931
2022-02-27,26,1991
2022-02-28,63,1556
2022-03-01,70,1350
2022-03-02,48,1643
2022-03-03,59,1661
2022-03-04,55,1594
2022-03-05,39,1862
2022-03-06,28,1546
2022-03-07,48,1838
2022-03-08,34,1732
2022-03-09,51,1650
2022-03-10,45,1549
2022-03-11,38,1549
2022-03-12,34,1798
2022-03-13,21,1743
2022-03-14,50,1671
2022-03-15,62,2053
2022-03-16,46,1680
2022-03-17,48,1531
2022-03-18,47,1652
2022-03-19,35,1533
2022-03-20,21,1549
2022-03-21,41,1424
2022-03-22,46,1531
2022-03-23,52,1602
2022-03-24,59,1794
2022-03-25,46,1465
2022-03-26,46,1375
2022-03-27,20,1795
2022-03-28,52,1598
2022-03-29,53,1585
2022-03-30,49,2061
2022-03-31,47,1581
2022-04-01,38,1757
2022-04-02,41,1517
2022-04-03,18,2029
2022-04-04,73,1603
2022-04-05,52,1731
2022-04-06,48,1859
2022-04-07,67,1724
2022-04-08,55,1717
2022-04-09,46,1835
2022-04-10,25,1864
2022-04-11,58,1592
2022-04-12,52,1507
2022-04-13,48,1553
2022-04-14,53,1496
2022-04-15,25,2010
2022-04-16,38,1400
2022-04-17,20,1724
2022-04-18,27,2014
2022-04-19,49,1831
2022-04-20,46,1819
2022-04-21,58,1829
2022-04-22,51,1999
2022-04-23,42,1812
2022-04-24,27,2080
2022-04-25,76,1910
2022-04-26,74,1773
2022-04-27,62,1447
2022-04-28,47,1566
2022-04-29,56,1525
2022-04-30,44,1530
2022-05-01,21,2223
2022-05-02,57,1708
2022-05-03,54,1709
2022-05-04,64,2089
2022-05-05,55,1950
2022-05-06,60,1504
2022-05-07,45,1573
2022-05-08,33,2180
2022-05-09,70,1822
2022-05-10,72,1594
2022-05-11,62,1786
2022-05-12,67,1814
2022-05-13,60,1600
2022-05-14,36,1546
2022-05-15,41,1688
2022-05-16,65,1864
2022-05-17,63,1893
2022-05-18,59,1788
2022-05-19,61,1907
2022-05-20,54,1659
2022-05-21,36,1621
2022-05-22,19,2146
2022-05-23,69,1554
2022-05-24,60,2114
2022-05-25,40,1567
2022-05-26,33,1671
2022-05-27,71,1659
2022-05-28,37,1823
2022-05-29,35,1907
2022-05-30,64,1826
