ID,Department,Region,Education,Gender,Recruitment_Channel,Age,Number_of_Previous_Companies,Years_of_Service
8395,Sales & Marketing,2,Master's & above,Female,Sourcing,36,1,7
3122,Analytics,11,Master's & above,Male,Other,32,1,9
2809,Operations,8,Bachelor's,Female,Sourcing,45,1,12
625,Sales & Marketing,23,Bachelor's,Male,Other,35,1,8
2784,Procurement,7,Bachelor's,Male,Other,32,1,10
7612,Operations,27,Bachelor's,Male,Other,27,1,6
160,Procurement,22,Bachelor's,Female,Sourcing,24,2,1
224,Operations,3,Bachelor's,Male,Other,30,1,6
285,Sales & Marketing,6,Bachelor's,Male,Other,32,1,5
7984,Procurement,17,Bachelor's,Female,Other,36,1,8
2355,Procurement,7,Bachelor's,Male,Sourcing,49,1,3
8880,Legal,7,Bachelor's,Male,Other,37,1,7
696,Sales & Marketing,17,Bachelor's,Male,Sourcing,39,1,7
6016,Operations,8,Bachelor's,Male,Sourcing,27,1,2
700,Procurement,29,Bachelor's,Male,Other,35,1,7
7381,HR,2,Master's & above,Male,Other,41,1,10
7839,HR,27,Bachelor's,Male,Sourcing,23,2,2
9837,Operations,7,Bachelor's,Male,Sourcing,30,1,8
906,Analytics,2,Bachelor's,Male,Sourcing,40,2,3
1645,Operations,32,Bachelor's,Male,Sourcing,30,1,2
8793,Technology,22,Bachelor's,Female,Sourcing,28,1,3
4025,Technology,2,Bachelor's,Female,Other,22,1,2
6144,Operations,13,Bachelor's,Male,Other,29,1,2
7363,Operations,26,Bachelor's,Female,Other,33,1,3
1978,Sales & Marketing,20,Bachelor's,Male,Other,27,1,1
8021,Procurement,22,Master's & above,Male,Sourcing,53,1,4
6611,Technology,2,Master's & above,Male,Other,37,1,3
4460,Technology,17,Bachelor's,Male,Sourcing,30,1,1
4010,Sales & Marketing,28,Master's & above,Female,Sourcing,32,1,4
7435,HR,14,Bachelor's,Male,Other,25,1,2
7936,Analytics,26,Bachelor's,Male,Sourcing,29,1,4
7529,Finance,27,Bachelor's,Male,Sourcing,27,2,3
5284,Sales & Marketing,4,Bachelor's,Male,Sourcing,34,2,8
8242,Sales & Marketing,7,Bachelor's,Male,Other,40,1,6
493,Sales & Marketing,2,Master's & above,Female,Sourcing,45,2,18
9866,Sales & Marketing,7,Bachelor's,Female,Other,30,3,3
2269,Sales & Marketing,19,Bachelor's,Male,Other,32,2,3
5602,Procurement,23,Bachelor's,Male,Other,28,1,2
8387,Operations,22,Bachelor's,Male,Sourcing,25,1,2
6598,Operations,26,Bachelor's,Female,Other,28,1,4
3107,Sales & Marketing,2,Bachelor's,Male,Sourcing,31,1,6
4814,Sales & Marketing,7,Bachelor's,Male,Other,46,2,13
8680,Operations,2,Bachelor's,Female,Other,20,1,2
3360,Analytics,13,Master's & above,Male,Other,34,1,3
8882,Operations,2,Bachelor's,Male,Other,45,1,9
4234,Sales & Marketing,2,Bachelor's,Male,Sourcing,51,1,17
9718,Operations,22,Bachelor's,Male,Other,39,1,8
1288,Operations,32,Bachelor's,Male,Other,37,2,7
6607,Technology,22,Bachelor's,Female,Other,27,1,2
9423,Analytics,31,Bachelor's,Male,Sourcing,29,1,3
7673,Operations,16,Bachelor's,Male,Sourcing,44,1,4
4482,Procurement,2,Below Secondary,Male,Sourcing,24,1,1
9060,Procurement,11,Master's & above,Male,Other,32,1,9
664,Sales & Marketing,2,Bachelor's,Male,Other,56,1,12
3489,Sales & Marketing,7,Master's & above,Male,Other,43,2,9
279,Sales & Marketing,19,Bachelor's,Female,Sourcing,34,1,9
7495,Sales & Marketing,22,Bachelor's,Male,Other,29,1,1
8243,Operations,29,Bachelor's,Male,Sourcing,29,1,3
57,Technology,2,Bachelor's,Female,Other,23,1,2
6754,Technology,7,Bachelor's,Male,Sourcing,27,1,2
2492,Procurement,21,Master's & above,Male,Other,36,1,4
5079,Procurement,11,Master's & above,Female,Other,32,1,6
1362,Sales & Marketing,26,Bachelor's,Male,Other,28,1,1
5868,Analytics,19,Bachelor's,Other,Other,32,1,6
1365,Procurement,24,Bachelor's,Female,Sourcing,25,1,2
2887,Finance,7,Bachelor's,Female,Other,28,1,4
1319,Procurement,13,Bachelor's,Female,Sourcing,30,More than 3,6
5851,Operations,12,Bachelor's,Female,Other,30,2,3
3941,Sales & Marketing,5,Bachelor's,Male,Sourcing,32,1,7
1081,Operations,2,Master's & above,Female,Sourcing,54,1,15
930,Analytics,34,Bachelor's,Male,Sourcing,34,1,2
5795,Sales & Marketing,22,Master's & above,Male,Other,33,1,7
1072,Operations,27,Bachelor's,Male,Other,37,1,8
6322,Operations,19,Bachelor's,Male,Sourcing,36,1,7
1090,Technology,26,Master's & above,Male,Sourcing,51,1,19
8174,Analytics,2,Master's & above,Male,Sourcing,51,1,3
3847,Analytics,7,,Male,Other,25,1,3
5087,Procurement,12,Bachelor's,Male,Other,32,1,7
7403,Operations,15,Master's & above,Male,Other,35,1,9
1575,Operations,23,Bachelor's,Male,Other,33,1,9
8053,Sales & Marketing,7,Bachelor's,Male,Sourcing,29,1,6
7802,Sales & Marketing,2,,Female,Other,21,1,1
5790,Analytics,4,Bachelor's,Male,Other,34,1,9
1487,Sales & Marketing,23,Bachelor's,Male,Sourcing,31,2,8
6957,Procurement,19,Bachelor's,Female,Other,35,1,10
7846,Operations,7,Bachelor's,Female,Sourcing,36,1,4
7934,Operations,26,Bachelor's,Male,Other,31,1,4
8104,Operations,4,Master's & above,Female,Other,43,1,12
7223,Procurement,7,Master's & above,Male,Sourcing,48,3,19
5745,Technology,11,Master's & above,Female,Other,33,2,7
9819,Procurement,31,Bachelor's,Female,Sourcing,33,1,6
9852,Operations,31,Bachelor's,Female,Sourcing,34,1,4
5656,Procurement,2,Master's & above,Female,Sourcing,35,1,5
5771,Sales & Marketing,7,Master's & above,Male,Other,33,More than 3,7
6048,Sales & Marketing,2,,Female,Other,24,2,2
7530,Sales & Marketing,2,Bachelor's,Male,Sourcing,48,1,2
5000,Analytics,29,Bachelor's,Female,Sourcing,32,1,2
6309,Procurement,2,Below Secondary,Female,Sourcing,20,1,2
7833,Operations,22,Bachelor's,Male,Sourcing,47,1,6
1532,Sales & Marketing,22,Bachelor's,Male,Other,28,1,3
1860,HR,7,Bachelor's,Male,Other,32,2,4
354,Procurement,11,Master's & above,Male,Sourcing,39,1,3
2456,Sales & Marketing,31,Bachelor's,Female,Other,32,1,3
3053,Analytics,28,Bachelor's,Male,Other,38,1,3
1682,Operations,2,Bachelor's,Male,Sourcing,38,1,7
1398,Technology,5,Master's & above,Female,Other,33,1,6
7695,Operations,4,Master's & above,Female,Sourcing,45,1,7
1075,Sales & Marketing,2,,Female,Other,20,1,2
4550,Operations,13,Master's & above,Female,Other,35,2,8
6270,Operations,22,Bachelor's,Female,Sourcing,42,1,3
3016,Procurement,2,Master's & above,Male,Sourcing,36,1,10
7687,Operations,32,Bachelor's,Male,Other,31,1,5
3314,Analytics,29,Bachelor's,Male,Sourcing,42,1,2
3330,HR,26,Bachelor's,Male,Other,32,1,7
89,Sales & Marketing,22,,Male,Other,28,3,2
3851,Operations,27,Master's & above,Female,Other,37,1,4
8967,Sales & Marketing,11,Bachelor's,Male,Other,29,1,2
7098,Procurement,11,Bachelor's,Male,Sourcing,40,1,7
3782,Sales & Marketing,2,Bachelor's,Male,Other,36,2,8
4957,Analytics,2,Bachelor's,Male,Other,34,1,3
7757,Technology,22,Bachelor's,Female,Other,27,1,3
6289,Sales & Marketing,2,Bachelor's,Male,Sourcing,59,1,7
143,Sales & Marketing,13,Bachelor's,Female,Other,30,1,8
5440,Sales & Marketing,19,Bachelor's,Male,Sourcing,32,1,3
2077,Analytics,22,Bachelor's,Female,Sourcing,26,1,4
7069,Operations,29,Bachelor's,Female,Other,30,1,4
3687,Sales & Marketing,9,Bachelor's,Male,Other,26,1,5
6466,Sales & Marketing,28,,Male,Sourcing,25,1,2
4606,Procurement,13,Bachelor's,Male,Other,29,1,1
1042,Analytics,34,Bachelor's,Male,Sourcing,35,1,5
1909,Sales & Marketing,16,Bachelor's,Male,Other,44,1,14
5654,Finance,2,Bachelor's,Male,Sourcing,32,1,2
1966,Technology,2,Bachelor's,Female,Other,52,1,20
8684,Operations,15,Bachelor's,Male,Sourcing,40,2,11
2253,Sales & Marketing,26,Bachelor's,Male,Other,39,1,4
9981,Technology,13,Bachelor's,Female,Sourcing,29,1,2
9099,Sales & Marketing,6,Bachelor's,Male,Sourcing,28,2,2
6175,Technology,13,Master's & above,Male,Sourcing,35,1,5
6459,Operations,22,Bachelor's,Male,Sourcing,25,1,1
1343,Technology,7,Master's & above,Male,Sourcing,32,2,2
1914,Sales & Marketing,4,Master's & above,Male,Sourcing,33,1,8
4901,Sales & Marketing,7,Bachelor's,Male,Other,34,1,4
6448,Technology,33,Master's & above,Male,Other,45,1,6
6675,HR,25,Master's & above,Male,Other,35,1,7
8661,R&D,4,Master's & above,Female,Other,34,1,3
6185,Analytics,22,Bachelor's,Male,Other,30,1,6
7650,Operations,15,Master's & above,Female,Other,48,1,9
2142,Sales & Marketing,28,Master's & above,Male,Sourcing,45,1,19
2420,Technology,5,Bachelor's,Male,Sourcing,26,2,2
4347,Procurement,2,Bachelor's,Male,Other,36,1,8
4308,Operations,2,Master's & above,Male,Sourcing,39,1,4
4691,Operations,32,Bachelor's,Male,Sourcing,28,1,2
5210,Analytics,22,Bachelor's,Male,Other,31,1,1
7573,Technology,22,Bachelor's,Male,Sourcing,32,1,7
3722,R&D,22,Bachelor's,Male,Other,35,1,5
7147,Technology,2,Bachelor's,Male,Referred,40,1,3
45,Procurement,2,Master's & above,Female,Other,33,1,3
1459,Sales & Marketing,14,Bachelor's,Female,Other,34,1,9
2506,Sales & Marketing,1,Master's & above,Male,Other,32,1,3
4376,HR,2,Master's & above,Female,Sourcing,34,1,3
2675,Procurement,2,Master's & above,Male,Sourcing,34,1,10
2967,Analytics,13,Bachelor's,Male,Other,31,1,5
4958,Analytics,4,Bachelor's,Female,Other,29,1,8
1150,Sales & Marketing,4,Bachelor's,Female,Other,33,1,6
1764,Operations,7,Bachelor's,Male,Other,26,1,1
5007,Sales & Marketing,2,Master's & above,Male,Sourcing,35,1,7
1392,Technology,15,Master's & above,Male,Other,35,2,7
1772,Operations,7,Below Secondary,Male,Other,26,1,4
3574,Operations,27,Bachelor's,Male,Other,46,2,15
8781,Procurement,11,Bachelor's,Male,Other,31,1,2
5661,Sales & Marketing,30,Bachelor's,Male,Other,26,1,2
6793,Analytics,29,Bachelor's,Male,Sourcing,25,1,1
207,Sales & Marketing,26,,Male,Other,31,1,4
4660,Sales & Marketing,14,Bachelor's,Male,Other,34,1,7
6268,Analytics,28,Bachelor's,Male,Sourcing,29,1,6
1506,Operations,27,Master's & above,Female,Other,45,1,16
2606,Technology,7,Bachelor's,Female,Sourcing,38,1,2
2918,Sales & Marketing,22,Bachelor's,Male,Sourcing,35,1,2
3032,Operations,2,Bachelor's,Female,Other,50,1,16
7132,Operations,4,Bachelor's,Male,Sourcing,36,1,12
3102,Technology,13,Bachelor's,Male,Sourcing,40,2,9
2651,Sales & Marketing,22,Master's & above,Male,Other,41,1,6
7171,Operations,28,Bachelor's,Male,Other,28,1,4
2837,Operations,14,Bachelor's,Female,Other,35,1,10
3602,Operations,2,Bachelor's,Male,Sourcing,31,More than 3,6
750,Operations,26,Bachelor's,Male,Sourcing,26,1,3
2717,Analytics,2,Bachelor's,Male,Other,29,1,1
4455,Operations,29,Master's & above,Male,Other,39,1,3
6555,Analytics,29,Bachelor's,Male,Other,32,1,9
8307,Sales & Marketing,7,Bachelor's,Male,Other,53,2,3
8743,Sales & Marketing,28,Master's & above,Male,Sourcing,44,1,2
4175,Sales & Marketing,31,Bachelor's,Male,Sourcing,43,1,13
7235,Technology,27,Below Secondary,Female,Other,23,1,1
9,Technology,31,Bachelor's,Male,Other,24,1,2
6119,Technology,27,Bachelor's,Male,Other,37,3,10
7691,Finance,2,Below Secondary,Female,Other,22,2,1
6308,Analytics,20,Bachelor's,Male,Other,27,1,5
9416,Operations,12,Bachelor's,Male,Sourcing,31,1,3
146,Technology,7,Bachelor's,Male,Sourcing,32,1,6
8409,Analytics,4,Master's & above,Male,Sourcing,46,1,6
5548,Procurement,24,Master's & above,Female,Sourcing,32,2,6
9764,Operations,2,Master's & above,Female,Referred,35,1,8
436,Technology,13,Bachelor's,Female,Other,29,1,2
4381,Operations,2,Below Secondary,Male,Sourcing,21,1,1
6020,Analytics,22,Bachelor's,Female,Other,29,1,1
1719,Operations,34,Bachelor's,Male,Other,34,1,6
228,HR,2,Bachelor's,Male,Sourcing,29,1,1
1082,Procurement,2,Master's & above,Male,Sourcing,33,1,7
4701,Procurement,22,Master's & above,Male,Other,51,1,10
4065,Operations,15,Master's & above,Male,Other,38,1,7
5673,Analytics,27,Bachelor's,Male,Sourcing,28,2,1
8036,Operations,32,Bachelor's,Female,Other,29,1,4
8434,Sales & Marketing,5,Bachelor's,Male,Other,39,1,5
4342,Finance,2,Bachelor's,Female,Other,27,1,1
6375,Technology,5,Master's & above,Male,Sourcing,45,1,22
6496,Sales & Marketing,7,Bachelor's,Male,Sourcing,31,1,1
4329,Analytics,29,Bachelor's,Male,Other,26,1,2
4980,Sales & Marketing,9,Bachelor's,Female,Sourcing,27,1,2
7192,Legal,2,Bachelor's,Male,Other,28,1,2
8345,Sales & Marketing,29,,Male,Other,28,1,1
9774,Operations,22,Bachelor's,Male,Referred,26,1,2
1877,Sales & Marketing,2,Bachelor's,Male,Other,34,1,7
5295,Sales & Marketing,28,Master's & above,Male,Other,40,2,6
1938,Sales & Marketing,15,Master's & above,Male,Sourcing,44,1,4
4950,Operations,15,Bachelor's,Female,Sourcing,28,1,5
5215,Sales & Marketing,3,Bachelor's,Male,Other,43,1,15
3009,Operations,12,Bachelor's,Female,Other,30,1,4
35,R&D,22,Master's & above,Male,Other,28,2,4
3013,Finance,31,Bachelor's,Female,Sourcing,27,3,2
3600,Operations,2,,Male,Other,48,1,8
7784,Sales & Marketing,1,Master's & above,Female,Other,34,1,3
9364,Operations,31,Bachelor's,Female,Other,42,1,7
5720,Sales & Marketing,21,Bachelor's,Male,Other,28,1,1
1615,Sales & Marketing,15,Bachelor's,Male,Sourcing,35,1,4
4733,Analytics,13,Bachelor's,Male,Other,35,1,10
7568,Operations,26,Bachelor's,Male,Other,28,1,4
9894,Sales & Marketing,19,Bachelor's,Male,Other,38,1,9
3788,Sales & Marketing,7,Master's & above,Male,Sourcing,36,1,10
4003,Analytics,26,Bachelor's,Male,Sourcing,28,1,2
8408,Sales & Marketing,2,Bachelor's,Female,Other,46,1,3
8358,Technology,2,Below Secondary,Male,Referred,22,1,1
3014,Sales & Marketing,30,Bachelor's,Male,Sourcing,24,1,2
5240,Sales & Marketing,28,Bachelor's,Male,Sourcing,45,1,11
8501,Procurement,17,Bachelor's,Female,Sourcing,50,1,23
9867,Technology,2,Bachelor's,Male,Other,41,3,1
2290,Operations,7,Bachelor's,Male,Sourcing,34,1,6
5220,Operations,2,Master's & above,Male,Sourcing,51,1,14
2108,Finance,2,Bachelor's,Female,Sourcing,36,1,4
7557,Procurement,7,Master's & above,Female,Other,48,1,4
9488,Sales & Marketing,10,Bachelor's,Male,Sourcing,37,1,3
1442,Analytics,28,Bachelor's,Male,Other,32,1,5
6723,Sales & Marketing,13,Bachelor's,Male,Sourcing,39,1,11
9586,Sales & Marketing,22,,Male,Other,28,3,1
2589,Sales & Marketing,30,Bachelor's,Male,Other,40,1,4
8495,Sales & Marketing,27,Bachelor's,Male,Other,28,2,6
7832,Sales & Marketing,13,Master's & above,Female,sourcing,32,1,5
5277,Analytics,2,Bachelor's,Male,Other,48,1,18
1177,R&D,24,Bachelor's,Male,Other,31,1,5
2948,Operations,15,,Male,Other,33,2,6
296,Procurement,33,Bachelor's,Female,Sourcing,32,1,5
7452,Technology,31,Bachelor's,Female,Sourcing,29,1,1
6964,Sales & Marketing,24,Bachelor's,Male,Sourcing,24,1,1
39,Sales & Marketing,2,Bachelor's,Male,Referred,26,1,3
3833,Sales & Marketing,16,Master's & above,Female,Other,36,1,7
5514,Sales & Marketing,2,,Male,Sourcing,48,1,13
9781,Sales & Marketing,14,Bachelor's,Male,Sourcing,48,1,7
2239,Operations,22,Bachelor's,Male,Sourcing,23,2,1
5124,Technology,27,Bachelor's,Female,Sourcing,31,1,4
4730,Sales & Marketing,7,Master's & above,Male,Sourcing,50,2,17
7559,Sales & Marketing,16,Bachelor's,Male,Sourcing,31,1,3
4067,Procurement,7,Bachelor's,Female,Sourcing,40,1,9
5903,Operations,25,Bachelor's,Female,Other,29,1,7
1110,Sales & Marketing,2,Master's & above,Female,Sourcing,36,More than 3,5
4132,Sales & Marketing,2,Bachelor's,Male,Other,30,3,2
2191,Sales & Marketing,25,Master's & above,Male,Other,33,2,10
9188,Sales & Marketing,26,Bachelor's,Female,Other,31,1,3
2736,Technology,5,Bachelor's,Female,Sourcing,31,1,4
6864,Procurement,2,Bachelor's,Male,Sourcing,41,1,12
7943,Procurement,2,Bachelor's,Female,Sourcing,58,1,5
3306,Operations,2,Bachelor's,Male,Other,33,2,10
7679,Operations,7,Bachelor's,Female,Other,24,1,2
1423,Operations,11,Bachelor's,Female,Sourcing,37,1,6
7526,Procurement,2,Master's & above,Female,Other,36,1,4
5082,Technology,13,Bachelor's,Female,Other,28,1,2
516,Sales & Marketing,12,Bachelor's,Female,Sourcing,26,1,2
3819,Sales & Marketing,13,Master's & above,Male,Sourcing,35,2,5
273,Operations,4,Master's & above,Female,Other,42,2,5
4636,Operations,5,Bachelor's,Male,Other,30,1,4
8980,HR,2,Bachelor's,Male,Other,32,2,5
1702,Operations,25,Bachelor's,Male,Other,29,1,5
1835,Sales & Marketing,7,Master's & above,Male,Sourcing,29,1,2
6114,Sales & Marketing,26,Bachelor's,Male,Other,32,1,2
8328,Procurement,7,Bachelor's,Male,Sourcing,46,1,4
6947,Operations,12,Bachelor's,Male,Sourcing,33,1,5
2432,Sales & Marketing,7,Master's & above,Male,Other,54,1,15
3139,Sales & Marketing,25,Bachelor's,Female,Other,27,1,1
406,Operations,31,Bachelor's,Male,Other,31,2,5
6847,Sales & Marketing,2,Bachelor's,Female,Sourcing,31,2,8
8695,Operations,14,Bachelor's,Male,Other,35,1,10
992,Analytics,22,Bachelor's,Female,Other,26,1,3
