company,frequency,recency,monetary,low_hp,medium_hp,high_hp,sport_car,old_,medium_old,medium_new,new_,low_mileage,medium_low_mileage,medium_high_mileage,high_mileage,less_3k,_3k_6k_,_6k_10k_,_10k_15k_,_15k_,profit_per_car
Daniel Opalla,1,10,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,41.0
BeAlFI GmbH Be Always First,3,8,9,0,8,0,0,0,0,1,8,7,1,0,0,0,0,0,2,6,584.75
AutoPalin (SOK),1,10,7,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1576.0
PM Cars Sagl,1,8,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,613.0
AUTOWEB CENTER SRL,1,7,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-279.0
SIPSAS NIKOLAOS PETROS,2,7,4,2,1,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,510.0
MIOBIO Ltd,3,10,5,3,2,0,0,0,0,5,1,0,0,5,0,0,3,2,0,0,539.6
Autowelt Simon GmbH & Co. KG,1,10,5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1064.0
MM AUTOMOBILI d.o.o.,1,10,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0
"V - Avto, posredništvo pri prodaji in vzdrževanje vozil, Vili Jug s.p.",1,10,6,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,19.5
E & B S.R.L. - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,1,10,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,308.0
"Somnium, s.r.o.",1,10,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-4816.0
ALD CARMARKET s.r.o.,1,7,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,762.0
Autohaus Penders GmbH,4,8,9,0,10,1,0,0,1,8,3,8,2,1,0,0,0,0,3,8,1100.7272727272727
ANM,4,6,5,2,9,0,0,4,7,0,0,0,1,10,0,7,4,0,0,0,320.09090909090907
BRAND Automobile Kft.,3,3,9,0,8,0,0,0,0,7,1,0,4,4,0,0,0,0,6,2,972.875
Autohaus-Märkisches Tor GmbH,2,9,5,0,3,0,0,0,0,3,0,1,2,0,0,0,0,1,2,0,363.3333333333333
"Royal Automobile Wegberg, Inh. Serdar Kivanc",6,6,8,5,14,1,0,6,10,4,0,2,10,6,2,6,11,3,0,0,522.75
Autos.dk,1,7,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1385.0
SP Leasing,2,8,9,0,1,0,2,0,0,1,3,3,0,0,0,0,0,0,0,3,-5499.0
V.M.N AUTO,8,4,9,38,15,0,0,12,41,0,0,1,24,28,0,41,12,0,0,0,493.37735849056605
"Khachatryan, Hakob",2,1,3,1,2,0,0,2,1,0,0,0,0,3,0,1,2,0,0,0,271.6666666666667
Autohaus Ostmann KG - Wolfhagen,7,8,12,4,21,6,2,0,0,4,32,30,3,0,0,0,0,1,1,31,1176.7272727272727
SULZHYK ROMAN,1,6,4,0,2,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1212.0
Target motors,1,10,6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1412.0
PEGASE MOTORS,1,7,3,1,1,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,539.5
ENRIQUE DIEGUEZ GARCIA,3,9,9,0,9,0,0,0,2,5,2,2,7,0,0,0,0,1,5,3,367.77777777777777
VOG 78 OOD,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,472.0
MD LINK d.o.o.,5,6,7,6,11,0,0,0,12,5,1,0,2,15,0,4,12,0,0,1,569.4117647058823
Auto Combinatie Ermelo BV,1,8,4,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1091.0
"EE-Autogalerie, Inh. Erol Erdogan",4,1,10,0,11,0,0,0,4,6,3,0,11,0,0,0,0,0,0,11,1313.4545454545455
LUCAN ASESOR SLU,1,7,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,270.0
Starauto S.R.L.,1,8,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,535.0
"Auto Andreas Zellingen, Inh. Andrei Sipos-Mocanu",3,3,5,2,4,0,0,3,3,0,0,0,4,2,0,2,3,1,0,0,630.0
Järvenpään Autokulma Oy,1,9,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,-1287.0
AUTOMOTOR BOADILLA SL,4,1,9,2,9,1,0,0,3,7,2,7,5,0,0,0,0,7,5,0,531.5
DALCAR Jan Kowalczyk,1,10,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,325.0
CSÁKI JÓZSEF SÁNDOR E.V.,1,8,4,1,1,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,328.0
JJ un KO SIA,1,4,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,240.0
DORDOGNE AUTOSPORT,1,5,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,-599.0
KFZ StefAuto,1,7,2,0,2,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,196.5
KE AUTO S.R.L.,1,9,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,642.0
BVBA CIPAS,1,8,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,563.0
GT MOTOR SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2,8,4,1,2,0,0,2,0,0,1,1,1,1,0,1,1,0,1,0,369.3333333333333
Cars City Leipzig UG,1,10,4,0,1,1,0,1,1,0,0,0,2,0,0,1,0,1,0,0,662.5
SASU AUTO BLITZ,7,6,9,10,25,0,0,0,23,12,1,11,24,0,0,2,18,15,0,0,606.0285714285715
Tea Automobili D.O.O.,4,9,7,0,10,0,0,2,6,2,0,0,1,9,0,2,4,4,0,0,801.6
Benedikt Automobili d.o.o.,6,5,9,0,26,0,0,0,13,13,0,0,7,19,0,0,3,12,8,3,1025.8461538461538
Bestdeal Automotive B.V.,3,6,8,2,4,0,0,0,0,3,4,5,1,0,0,0,0,3,1,2,281.1666666666667
"carpoint backnang, Inh. Dilek Iscan",1,9,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1611.0
B.p Avto d.o.o,4,1,9,0,10,1,0,0,1,3,8,4,5,2,0,0,0,0,3,8,794.9090909090909
OSCAR HERNANDEZ MARTINEZ,1,8,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,215.0
"""AUTO-PERFEKT"" - MATEUSZ SZEWCZYK",1,9,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,348.0
"Dienstleistungen N. Schanze, Inh. Nicole Schanze",7,3,9,13,18,0,0,16,13,2,0,2,24,5,0,15,14,2,0,0,588.2258064516129
"Autohaus-Schulenburg, Inh. Melanie Borggreve",6,7,10,3,20,3,0,0,12,13,1,2,12,12,0,1,3,6,11,5,1120.423076923077
"Autopark Sennestadt, Inh. Sertac Cabadag",1,10,4,1,1,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,302.0
Cargo-Impex 2005 Kft,3,7,5,3,3,1,0,2,4,1,0,0,1,5,1,4,3,0,0,0,353.57142857142856
KAR S & BIKS (KA COMPANY),1,9,6,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,698.0
"D.S. Mobile, Inh. Dajana Schwebe",1,10,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,240.0
LIM TRANS 2020 LTD,1,10,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,301.0
"F.H.U. ""DEMOTO"" Dominik Wójcik",1,10,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,248.0
Auto haefland,3,3,5,3,2,0,0,0,3,2,1,3,2,0,0,0,1,4,0,0,313.2
Autohaus Schäfer GmbH,3,8,9,1,4,1,0,0,0,0,6,6,0,0,0,0,0,0,1,5,713.6666666666666
"MR HEUNGENS, KURT",1,10,4,1,1,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,486.5
Steenhagen Auto's,1,9,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,303.0
Garage De Bolle,1,7,5,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,500.5
Korrekt Komplex Építőipari és Szolgáltató Korlátolt Felelősségű Társaság,1,9,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1090.0
YAKYMCHUK MYKHAILO,1,8,4,0,2,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1255.0
DEMERLIOTI ELISABET IOANNIS,2,8,5,4,0,0,0,0,0,4,1,0,2,2,0,0,1,3,0,0,1126.5
AHZ Automobile Handels Zentrum GmbH - Karlsruhe,1,6,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,747.0
BM AUTO 69,1,8,3,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,351.0
AVTO PERALNA RIAD DOOEL Skopje,3,3,5,1,6,0,0,3,2,2,0,0,0,2,5,4,1,1,1,0,463.7142857142857
DUCAUTO,1,8,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,810.0
Hülber Kft,1,9,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,334.0
RAFAEL FERNANDES HORTA,1,10,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,371.0
"HanseAutomobile, Inh. Rolf Eggerstedt",1,6,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-2082.0
"Autohaus Fulda Süd Exp., Inh. Dincer Akinci",2,7,7,0,3,0,1,0,2,0,2,0,1,3,0,0,0,0,1,3,1374.5
"Auto Miller, Inh. Andreas Miller",6,3,9,4,17,1,0,7,14,1,0,2,19,0,1,4,15,2,1,0,637.7272727272727
"Die Autohalle, Inh. Jascha Marquardt",6,7,9,1,13,3,3,6,7,7,1,1,5,14,0,1,4,9,4,2,336.45
"Autohaus Schwarz, Inh. Mark Schwarz",4,7,7,3,8,0,0,3,8,0,0,5,6,0,0,2,2,7,0,0,654.8181818181819
Autobedrijf Zwijnenberg,1,9,7,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,936.0
VLASTA-MBK d.o.o.,1,7,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,461.0
BULGARI LTD,1,4,1,1,1,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,207.0
GROUPE FABRE - AUTOMOBILE SERVICE 12 - ONET LE CHATEAU - VW SEAT SUZUKI,1,10,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,741.0
"Autohaus Kizil, Inh. Osman Kizil",2,3,6,1,1,1,0,0,2,1,0,0,2,1,0,1,0,1,0,1,293.0
Karpiuk Andrii,2,4,3,0,3,0,0,2,1,0,0,0,0,2,1,2,1,0,0,0,337.0
MAGNUM STAR-AUTO S.R.L.,2,10,3,1,2,0,0,1,2,0,0,0,0,0,3,2,1,0,0,0,463.3333333333333
CODARCEA GABRIEL PERSOANĂ FIZICĂ AUTORIZATĂ,1,10,3,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,734.0
LIVIU CATALIN COSTEA,4,4,5,4,7,0,0,5,5,1,0,0,0,4,7,6,5,0,0,0,318.45454545454544
Auto-Bluhm GmbH,2,4,8,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,2099.3333333333335
RDM cars,3,2,5,2,3,0,0,0,2,3,0,0,3,2,0,1,3,1,0,0,579.2
Länsiauto Oy,1,10,8,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,2,2648.0
CARLOS CALERO PULET,1,10,3,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1140.0
EXCLUSIV BESTCAR S.R.L.,1,10,4,0,2,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,458.5
PREMIUM AUTOLINE D.O.O.,1,10,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,338.0
"AMS Automobile, Inh. Ahmad Mohamed",1,9,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,346.0
ALLCARS GmbH,3,8,9,0,5,0,0,0,1,2,4,2,3,0,0,0,0,1,0,4,795.8
Autoranch Handels GmbH & Co KG,2,6,4,0,3,0,0,0,3,0,0,0,2,1,0,0,1,2,0,0,30.0
"Simone Körner Gebrauchtwagenhandel, Inh. Simone Körner",1,10,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,306.0
Jozef Fogd,5,1,6,7,10,2,0,17,2,0,0,0,7,11,1,13,4,2,0,0,255.31578947368422
BORIS & CAMELIA PASCALOV LDA,2,9,3,3,1,0,0,3,1,0,0,0,3,0,1,3,1,0,0,0,187.75
BV S.I.S.A.,6,1,8,7,18,0,1,25,0,1,0,1,10,12,3,21,4,0,0,1,499.65384615384613
SASU AUTO FRANCE MEDITERRANEE,3,7,8,0,5,0,1,4,0,1,1,2,0,4,0,3,1,0,0,2,658.6666666666666
British Premium Cars GmbH,1,10,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2342.0
"HUSCHER-Impex, Inh. Erwin Huscher",4,7,9,0,10,0,1,0,10,1,0,11,0,0,0,0,0,8,2,1,1336.1818181818182
"KFZ Handel Lück, Inh. Monty Lück",1,3,5,1,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,1,575.0
"ML AUTO SERVICES, M MONTCOUDIOL LOIC, BERNARD, PAUL",1,10,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1141.0
AMK FIRMA HANDLOWO USŁUGOWA AGATA KLEKOT,1,10,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-629.0
"Fahrzeugvermittlung + Reifenhandel Bent Hintzmann, Inh. Bent Hitzmann",1,10,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1127.0
AVTO EM 18 DOOEL Skopje,2,6,3,1,2,0,0,1,2,0,0,0,0,0,3,2,1,0,0,0,301.6666666666667
BUY-AUTO SP. Z O.O.,1,8,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,583.0
"Ralf Sacher Automobile, Inh. Ralf Sacher",6,8,4,18,4,0,0,22,0,0,0,0,7,15,0,22,0,0,0,0,269.22727272727275
Die Automobilagentur GbR,5,10,9,3,10,2,0,2,6,6,1,2,12,1,0,0,2,7,5,1,913.4666666666667
TRADECARS s.r.o.,6,3,8,12,13,0,0,11,13,1,0,1,15,9,0,8,16,1,0,0,575.28
B.R. MOTORS SRLS,1,10,4,0,1,1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,-691.5
LISHCHUK SVITLANA,1,7,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,212.0
AUTOBEDRIJF BESTEN,3,3,7,2,5,0,0,1,2,4,1,0,6,1,0,1,0,4,2,0,141.42857142857142
Ildicar Kft,2,1,3,1,3,0,0,3,1,0,0,0,0,1,3,2,2,0,0,0,241.75
SARL GMC,1,9,5,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,622.5
ARSENE SORIN ÎNTREPRINDERE INDIVIDUALĂ,1,10,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,459.0
Horseman,1,10,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-651.0
Autohaus Manikowski Otterndorf GmbH & Co. KG,2,8,8,1,3,0,0,0,0,1,3,4,0,0,0,0,0,1,0,3,-79.5
V.O.F. Autobedrijf Master,1,8,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,176.0
"""RS-MOBILE"" RADOSŁAW SEMKOWICZ",2,7,6,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,1030.0
STAND 25 COMERCIO DE AUTOMOVEIS LDA,2,10,5,2,1,0,0,0,1,2,0,0,2,1,0,0,2,0,1,0,592.6666666666666
SOTERMAQUINAS SOC TERCEIRENSE MAQUINAS E ACESSORIOS SA,2,10,7,0,3,0,0,0,0,1,2,2,1,0,0,0,0,0,0,3,62.0
NEW GENK AUTO SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,5,1,9,17,0,0,0,0,0,10,10,16,1,0,0,0,3,6,7,1,911.4705882352941
"Autohandel Großenwiehe, Inh. Rustam Ozmanyan",3,9,8,1,4,2,0,0,1,6,0,0,5,2,0,0,1,2,2,2,754.0
AUTOCLAUSS S.R.L.,1,7,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,427.0
TYPOTO,1,10,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1559.0
SixTrade OÜ,1,10,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,399.0
Artan Bali,1,6,2,2,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,378.0
Kristián Mlynarczyk,1,9,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,275.0
Marko Svitlana,1,10,2,1,1,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,441.5
PATYI ZSOLT E.V.,3,6,4,5,1,1,0,6,1,0,0,0,1,4,2,5,1,1,0,0,94.42857142857143
EURL VITRY MARNE AUTO,3,4,8,3,5,0,0,0,0,7,2,4,4,0,0,0,1,3,1,3,995.875
Autohuis Marchant,3,6,5,5,2,0,0,0,6,1,0,0,3,4,0,1,5,1,0,0,658.4285714285714
AUTOMOBIELBEDRIJF WENSVEEN B.V.,2,5,7,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,740.6666666666666
Delta-Motors GbR,1,9,6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1813.0
JOKI LOGISTIK DOOEL Ilinden,1,9,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1136.0
FISCALE EENHEID AUTOMOBIELBEDRIJF FLEMING B.V.,3,7,7,3,3,0,0,0,3,2,2,4,2,0,0,0,1,3,2,0,974.6666666666666
JAVIER POSE LOPEZ,2,10,6,0,0,3,0,0,2,1,1,2,1,0,0,0,0,0,2,1,-166.66666666666666
PEDRO FREIRE SL,1,8,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,792.0
SCHIMMER LAJOS,1,7,4,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,734.0
Autohaus Brütsch GmbH,3,1,9,0,5,2,1,0,0,1,7,7,0,0,0,0,0,0,0,7,354.85714285714283
CĂTĂLIN AUTO CARS SRL,1,10,2,0,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,271.5
SARL ERIC KOSTRZEWA AUTOMOBILES,3,7,9,0,1,4,3,0,0,6,2,6,0,0,0,0,0,0,0,6,1531.0
ZARATAN IMPORT AUTO SRL,1,10,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,338.0
SASU ASK AUTO,1,9,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,204.0
JAN CZECHOWSKI BIURO TŁUMACZEŃ JAN CZECHOWSKI,2,3,5,1,2,0,0,0,2,1,1,0,3,0,0,0,1,1,1,0,342.0
STATUSVORTEX UNIPESSOAL LDA,1,9,4,2,0,0,0,0,0,2,1,0,2,0,0,0,0,1,1,0,177.0
"Landau Automobile, Inh. Thomas Landau",4,6,7,2,9,0,0,0,8,3,0,5,6,0,0,0,6,5,0,0,769.7272727272727
PICOCAR - COMERCIO DE AUTOMOVEIS LDA,1,7,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,207.0
SANHUDO AUTOMOVEIS - SOCIEDADE UNIPESSOAL LDA,1,10,2,2,0,0,0,1,1,0,0,0,1,1,0,2,0,0,0,0,259.5
Euroline Osijek d.o.o.,1,10,4,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1835.0
LGE TRUST MOTION S.R.L.,1,7,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,297.0
Bcz auto,1,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,791.0
Auto-car centrum s.r.o.,3,8,7,1,8,0,0,1,4,3,1,3,2,4,0,2,3,3,0,1,698.6666666666666
Auto Nagel Kempen GmbH & Co. KG (Nagel Car Group),1,10,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1667.0
"Auto FR, Inh. Frank Richter",2,8,6,0,4,0,0,1,2,1,0,0,3,0,1,1,0,2,0,1,984.75
ACCEPTUS MARE d.o.o.,2,6,9,0,0,4,0,0,0,1,4,3,1,0,0,0,0,0,0,4,1321.25
M.RAS INC Sp. z o.o.,1,4,2,1,1,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,240.0
M-TECH ADAMIEC MICHAŁ USŁUGI MOTORYZACYJNE,4,1,5,4,7,0,0,6,4,1,0,0,5,6,0,8,3,0,0,0,383.0
TCB Automobile GmbH Essen,1,10,5,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1834.0
MB Transport system,2,2,3,0,2,1,0,1,2,0,0,0,0,1,2,3,0,0,0,0,-2.3333333333333335
SARL EASY CARS REIMS SARL,3,5,9,0,0,3,5,2,2,1,1,2,4,0,0,0,0,0,0,6,1944.1666666666667
SASU ART MANAGMENT,1,10,2,1,0,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0,-335.0
Horst Wilhelm Automobile GmbH & Co. KG,3,7,4,5,0,0,0,3,1,1,1,1,2,2,0,3,1,1,0,0,507.6
Usługi Transportowe Seweryn Pytel,1,10,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,268.0
Four&Two Wheels,1,10,6,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,-500.0
GLOBAL FORMA d.o.o.,2,9,5,2,2,0,0,0,1,3,1,0,4,0,0,1,1,2,0,0,221.0
LANKA-AUTO KFT,1,8,3,1,1,0,0,1,1,0,0,0,0,2,0,1,1,0,0,0,35.5
SE&PE VEHICULOS DE OCASION SL,1,10,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1331.0
Nors Auto A/S,1,10,7,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2773.0
FHU AUTO-MAR GRZEGORZ KRASZEWSKI,1,10,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,130.0
Savaria Autóház Korlátolt Felelősségű Társaság,3,10,9,0,5,1,0,0,0,2,4,5,1,0,0,0,0,0,1,5,776.0
"""STM"" AUTO NAPRAWA JAROSŁAW WASZAK",1,10,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,202.0
EURO TOP IMPORT AUTO SRL,1,8,3,0,2,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,273.0
PEDRO ANTONIO OLIVEIRA DE SOUSA,1,6,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1247.0
Nord-Ostsee Automobile GmbH & Co. KG,9,9,12,1,53,17,0,0,0,22,70,50,21,0,0,0,0,0,3,68,900.0985915492957
"AS Automobile, Inh. Solaiman Achargui",2,8,4,0,3,0,0,2,1,0,0,0,0,1,2,1,1,1,0,0,327.6666666666667
BEST AUTO TM IMPORT S.R.L.,3,7,6,1,4,1,0,0,4,2,0,0,1,5,0,0,3,1,2,0,842.8333333333334
"AUTO PARADIES, Inh. Luciano Lichius",6,6,6,9,12,1,0,18,4,0,0,2,11,8,1,20,2,0,0,0,372.6818181818182
POZSO - CAR Kft.,1,10,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,303.0
Diana auto,3,5,6,5,1,0,0,0,1,3,3,4,2,0,0,1,1,3,1,0,310.0
EVIKOR j.d.o.o.,1,8,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,261.0
"""Na Łuku"" Jacek Wrona",2,10,2,3,0,0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,365.6666666666667
"Lazgin Automobile, Inh. Sabri Arfo",2,6,2,1,2,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,345.3333333333333
SASU JO.MAT.AUTOS.,3,7,7,0,4,3,0,0,5,2,1,2,5,0,0,0,1,3,2,1,747.8571428571429
AUTO-MOBILE,6,3,7,10,11,0,0,16,5,0,0,11,8,2,0,13,7,1,0,0,641.5714285714286
DAPSY GERGŐ  E.V.,1,8,4,1,1,0,0,0,1,1,0,0,0,2,0,1,0,0,1,0,299.0
D&C AUTOMOTIVE WEST S.R.L.,1,7,7,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,2,972.0
"Hand Automobile, inh. Michael Handschuhmacher",3,1,6,1,5,0,0,1,0,3,3,0,0,1,5,1,2,1,2,0,358.8333333333333
"Horst Romeike Reifen und Autoservice, Inh. Horst-Günter Romeike",1,10,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1350.0
"A.A.ROYAL, Inh. Amidou Atti",3,3,3,4,3,0,0,7,0,0,0,0,3,4,0,7,0,0,0,0,315.2857142857143
OBLIS CONSULTING & SOLUTION SRL,1,9,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,593.0
AUTOMOTION DG d.o.o.,1,9,5,0,2,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1,-1646.0
DI MAIO MARIASOLE,1,10,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,476.0
"Kai Hausser Automobil-Handel-Vermittlung, Inh. Kai Hausser",1,6,5,0,2,0,0,0,1,0,1,0,2,0,0,0,1,0,0,1,1289.5
A.S. CARVALHO & IRMÃOS LDA,1,9,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,259.0
SR-MOTORS Inh. Sven Ribguth,1,7,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,721.0
AUTOCENTAR RAJKOVIĆ d.o.o.,1,10,4,1,1,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,409.0
MERTELJ ALEKSANDER S.P.,1,9,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,662.0
Autohan,1,3,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,748.0
VDFAST SRL,7,1,9,6,28,0,0,0,27,7,0,0,1,23,10,5,16,8,5,0,730.9411764705883
LS GROUP - VOLVO DEFRANCE AUTOMOBILES - RENNES,1,9,8,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,-125.0
AVTO SLAK D.O.O.,4,9,9,0,11,1,0,0,0,7,9,1,11,0,0,0,0,0,2,11,740.0833333333334
LE HANGAR DE L AUTOMOBILE,2,3,6,0,1,2,0,0,1,2,1,1,2,0,0,0,0,1,1,1,1107.3333333333333
PETRINJA AUTO D.O.O.,1,7,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,910.0
"MATEUSZ SOBIECH ""SOBIE-TRANS""",1,9,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,849.0
NASTASE CARS S.R.L.,1,9,3,0,2,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,810.5
Fx-Automobile Kereskedelmi és Szolgáltató Kft.,1,10,2,0,2,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,458.5
AUTO FABBRI S.R.L.,3,3,8,3,3,0,0,0,1,2,3,5,0,1,0,0,0,0,6,0,729.0
BVBA GARAGE GOETHALS DAVY,3,9,9,2,7,0,0,0,0,2,9,9,0,0,0,0,0,0,4,5,658.7777777777778
Patrick Schaepherders,1,3,2,2,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,388.0
