dates,cars_sold,n
2023-01-25,68,21
2023-01-24,99,21
2023-01-23,90,21
2023-01-22,29,21
2023-01-21,71,21
2023-01-20,75,21
2023-01-19,71,21
2023-01-18,84,21
2023-01-17,81,21
2023-01-16,91,21
2023-01-15,35,21
2023-01-14,50,21
2023-01-13,67,21
2023-01-12,60,21
2023-01-11,76,21
2023-01-10,90,21
2023-01-09,85,21
2023-01-08,38,21
2023-01-07,60,21
2023-01-06,86,21
2023-01-05,70,21
2023-01-04,88,21
2023-01-03,87,21
2023-01-02,91,21
2023-01-01,34,21
2022-12-31,31,21
2022-12-30,85,21
2022-12-29,80,21
2022-12-28,74,21
2022-12-27,64,21
2022-12-26,25,21
2022-12-25,25,21
2022-12-24,26,21
2022-12-23,53,21
2022-12-22,49,21
2022-12-21,61,21
2022-12-20,61,21
2022-12-19,63,21
2022-12-18,32,21
2022-12-17,49,21
2022-12-16,68,21
2022-12-15,63,21
2022-12-14,60,21
2022-12-13,74,21
2022-12-12,78,21
2022-12-11,39,21
2022-12-10,38,21
2022-12-09,64,21
2022-12-08,66,21
2022-12-07,53,21
2022-12-06,77,21
2022-12-05,76,21
2022-12-04,33,21
2022-12-03,45,21
2022-12-02,57,21
2022-12-01,57,21
2022-11-30,80,21
2022-11-29,79,21
2022-11-28,76,21
2022-11-27,27,21
2022-11-26,32,21
2022-11-25,65,21
2022-11-24,58,21
2022-11-23,65,21
2022-11-22,70,21
2022-11-21,76,21
2022-11-20,28,21
2022-11-19,56,21
2022-11-18,69,21
2022-11-17,55,21
2022-11-16,63,21
2022-11-15,57,21
2022-11-14,62,21
2022-11-13,24,21
2022-11-12,49,21
2022-11-11,64,21
2022-11-10,60,21
2022-11-09,73,21
2022-11-08,88,21
2022-11-07,82,21
2022-11-06,30,21
2022-11-05,55,21
2022-11-04,71,21
2022-11-03,69,21
2022-11-02,67,21
2022-11-01,66,21
2022-10-31,66,21
2022-10-30,29,21
2022-10-29,53,21
2022-10-28,76,21
2022-10-27,59,21
2022-10-26,63,21
2022-10-25,62,21
2022-10-24,71,21
2022-10-23,33,21
2022-10-22,53,21
2022-10-21,81,21
2022-10-20,69,21
2022-10-19,68,21
2022-10-18,78,21
2022-10-17,75,21
2022-10-16,32,21
2022-10-15,47,21
2022-10-14,69,21
2022-10-13,72,21
2022-10-12,62,21
2022-10-11,81,21
2022-10-10,70,21
2022-10-09,29,21
2022-10-08,43,21
2022-10-07,64,21
2022-10-06,91,21
2022-10-05,63,21
2022-10-04,58,21
2022-10-03,36,21
2022-10-02,30,21
2022-10-01,52,21
2022-09-30,100,21
2022-09-29,65,21
2022-09-28,88,21
2022-09-27,76,21
2022-09-26,97,21
2022-09-25,36,21
2022-09-24,69,21
2022-09-23,66,21
2022-09-22,85,21
2022-09-21,66,21
2022-09-20,86,21
2022-09-19,95,21
2022-09-18,34,21
2022-09-17,47,21
2022-09-16,75,21
2022-09-15,62,21
2022-09-14,86,21
2022-09-13,78,21
2022-09-12,91,21
2022-09-11,31,21
2022-09-10,51,21
2022-09-09,66,21
2022-09-08,67,21
2022-09-07,81,21
2022-09-06,75,21
2022-09-05,85,21
2022-09-04,39,21
2022-09-03,48,21
2022-09-02,77,21
2022-09-01,66,21
2022-08-31,71,21
2022-08-30,78,21
2022-08-29,69,21
2022-08-28,35,21
2022-08-27,47,21
2022-08-26,70,21
2022-08-25,69,21
2022-08-24,85,21
2022-08-23,66,21
2022-08-22,84,21
2022-08-21,33,21
2022-08-20,46,21
2022-08-19,67,21
2022-08-18,76,21
2022-08-17,78,21
2022-08-16,84,21
2022-08-15,98,21
2022-08-14,28,21
2022-08-13,46,21
2022-08-12,73,21
2022-08-11,71,21
2022-08-10,78,21
2022-08-09,82,21
2022-08-08,89,21
2022-08-07,40,21
2022-08-06,43,21
2022-08-05,86,21
2022-08-04,86,21
2022-08-03,81,21
2022-08-02,80,21
2022-08-01,76,21
2022-07-31,40,21
2022-07-30,45,21
2022-07-29,76,21
2022-07-28,69,21
2022-07-27,74,21
2022-07-26,71,21
2022-07-25,79,21
2022-07-24,33,21
2022-07-23,44,21
2022-07-22,57,21
2022-07-21,65,21
2022-07-20,54,21
2022-07-19,61,21
2022-07-18,66,21
2022-07-17,34,21
2022-07-16,50,21
2022-07-15,51,21
2022-07-14,60,21
2022-07-13,84,21
2022-07-12,52,21
2022-07-11,80,21
2022-07-10,39,21
2022-07-09,51,21
2022-07-08,65,21
2022-07-07,73,21
2022-07-06,59,21
2022-07-05,68,21
2022-07-04,89,21
2022-07-03,36,21
2022-07-02,47,21
2022-07-01,66,21
2022-06-30,59,21
2022-06-29,85,21
2022-06-28,72,21
2022-06-27,75,21
2022-06-26,32,21
2022-06-25,47,21
2022-06-24,57,21
2022-06-23,63,21
2022-06-22,64,21
2022-06-21,70,21
2022-06-20,77,21
2022-06-19,35,21
2022-06-18,39,21
2022-06-17,62,21
2022-06-16,48,21
2022-06-15,64,21
2022-06-14,66,21
2022-06-13,76,21
2022-06-12,27,21
2022-06-11,48,21
2022-06-10,47,21
2022-06-09,79,21
2022-06-08,66,21
2022-06-07,80,21
2022-06-06,19,21
2022-06-05,23,21
2022-06-04,32,21
2022-06-03,46,21
2022-06-02,58,21
2022-06-01,61,21
2022-05-31,64,21
2022-05-30,64,21
2022-05-29,35,21
2022-05-28,37,21
2022-05-27,71,21
2022-05-26,33,21
2022-05-25,40,21
2022-05-24,60,21
2022-05-23,69,21
2022-05-22,19,21
2022-05-21,36,21
2022-05-20,54,21
2022-05-19,61,21
2022-05-18,59,21
2022-05-17,63,21
2022-05-16,65,21
2022-05-15,41,21
2022-05-14,36,21
2022-05-13,60,21
2022-05-12,67,21
2022-05-11,62,21
2022-05-10,72,21
2022-05-09,70,21
2022-05-08,33,21
2022-05-07,45,21
2022-05-06,60,21
2022-05-05,55,21
2022-05-04,64,21
2022-05-03,54,21
2022-05-02,57,21
2022-05-01,21,21
2022-04-30,44,21
2022-04-29,56,21
2022-04-28,47,21
2022-04-27,61,21
2022-04-26,74,21
2022-04-25,76,21
2022-04-24,27,21
2022-04-23,42,21
2022-04-22,51,21
2022-04-21,58,21
2022-04-20,46,21
2022-04-19,49,21
2022-04-18,27,21
2022-04-17,20,21
2022-04-16,38,21
2022-04-15,25,21
2022-04-14,53,21
2022-04-13,48,21
2022-04-12,52,21
2022-04-11,58,21
2022-04-10,25,21
2022-04-09,46,21
2022-04-08,55,21
2022-04-07,67,21
2022-04-06,48,21
2022-04-05,52,21
2022-04-04,73,21
2022-04-03,18,21
2022-04-02,41,21
2022-04-01,38,21
2022-03-31,47,21
2022-03-30,49,21
2022-03-29,53,21
2022-03-28,52,21
2022-03-27,20,21
2022-03-26,46,21
2022-03-25,46,21
2022-03-24,59,21
2022-03-23,52,21
2022-03-22,46,21
2022-03-21,41,21
2022-03-20,21,21
2022-03-19,35,21
2022-03-18,47,21
2022-03-17,48,21
2022-03-16,46,21
2022-03-15,62,21
2022-03-14,50,21
2022-03-13,21,21
2022-03-12,34,21
2022-03-11,38,21
2022-03-10,45,21
2022-03-09,51,21
2022-03-08,34,21
2022-03-07,48,21
2022-03-06,28,21
2022-03-05,39,21
2022-03-04,55,21
2022-03-03,59,21
2022-03-02,48,21
2022-03-01,70,21
2022-02-28,63,21
2022-02-27,26,21
2022-02-26,42,21
2022-02-25,52,21
2022-02-24,54,21
2022-02-23,61,21
2022-02-22,63,21
2022-02-21,67,21
2022-02-20,34,21
2022-02-19,54,21
2022-02-18,69,21
2022-02-17,55,21
2022-02-16,58,21
2022-02-15,47,21
2022-02-14,58,21
2022-02-13,31,21
2022-02-12,48,21
2022-02-11,54,21
2022-02-10,72,21
2022-02-09,58,21
2022-02-08,64,21
2022-02-07,74,21
2022-02-06,21,21
2022-02-05,43,21
2022-02-04,64,21
2022-02-03,50,21
2022-02-02,54,21
2022-02-01,56,21
2022-01-31,77,21
2022-01-30,30,21
2022-01-29,56,21
2022-01-28,52,21
2022-01-27,48,21
2022-01-26,54,21
2022-01-25,69,21
2022-01-24,76,21
2022-01-23,20,21
2022-01-22,53,21
2022-01-21,59,21
2022-01-20,41,21
2022-01-19,56,21
2022-01-18,71,21
2022-01-17,78,21
2022-01-16,34,21
2022-01-15,53,21
2022-01-14,71,21
2022-01-13,54,21
2022-01-12,69,21
2022-01-11,82,21
2022-01-10,68,21
2022-01-09,21,21
2022-01-08,61,21
2022-01-07,75,21
2022-01-06,49,21
2022-01-05,89,21
2022-01-04,52,21
2022-01-03,64,21
2022-01-02,19,21
2022-01-01,17,21
2021-12-31,24,21
2021-12-30,63,21
2021-12-29,59,21
2021-12-28,62,21
2021-12-27,47,21
2021-12-26,18,21
2021-12-25,13,21
2021-12-24,26,21
2021-12-23,31,21
2021-12-22,33,21
2021-12-21,51,21
2021-12-20,52,21
2021-12-19,20,21
2021-12-18,36,21
2021-12-17,34,21
2021-12-16,58,21
2021-12-15,61,21
2021-12-14,49,21
2021-12-13,64,21
2021-12-12,26,21
2021-12-11,41,21
2021-12-10,60,21
2021-12-09,44,21
2021-12-08,61,21
2021-12-07,59,21
2021-12-06,57,21
2021-12-05,30,21
2021-12-04,40,21
2021-12-03,46,21
2021-12-02,58,21
2021-12-01,48,21
2021-11-30,66,21
2021-11-29,68,21
2021-11-28,21,21
2021-11-27,54,21
2021-11-26,44,21
2021-11-25,56,21
2021-11-24,64,21
2021-11-23,70,21
2021-11-22,67,21
2021-11-21,26,21
2021-11-20,34,21
2021-11-19,46,21
2021-11-18,64,21
2021-11-17,62,21
2021-11-16,65,21
2021-11-15,74,21
2021-11-14,25,21
2021-11-13,53,21
2021-11-12,56,21
2021-11-11,50,21
2021-11-10,70,21
2021-11-09,62,21
2021-11-08,68,21
2021-11-07,28,21
2021-11-06,47,21
2021-11-05,59,21
2021-11-04,65,21
2021-11-03,60,21
2021-11-02,75,21
2021-11-01,65,21
2021-10-31,27,21
2021-10-30,43,21
2021-10-29,60,21
2021-10-28,51,21
2021-10-27,68,21
2021-10-26,63,21
2021-10-25,67,21
2021-10-24,10,21
2021-10-23,47,21
2021-10-22,54,21
2021-10-21,56,21
2021-10-20,56,21
2021-10-19,57,21
2021-10-18,43,21
2021-10-17,21,21
2021-10-16,41,21
2021-10-15,45,21
2021-10-14,75,21
2021-10-13,55,21
2021-10-12,59,21
2021-10-11,58,21
2021-10-10,29,21
2021-10-09,40,21
2021-10-08,52,21
2021-10-07,49,21
2021-10-06,47,21
2021-10-05,64,21
2021-10-04,46,21
2021-10-03,31,21
2021-10-02,34,21
2021-10-01,37,21
2021-09-30,36,21
2021-09-29,41,21
2021-09-28,51,21
2021-09-27,40,21
2021-09-26,21,21
2021-09-25,31,21
2021-09-24,47,21
2021-09-23,36,21
2021-09-22,42,21
2021-09-21,40,21
2021-09-20,51,21
2021-09-19,15,21
2021-09-18,31,21
2021-09-17,47,21
2021-09-16,37,21
2021-09-15,36,21
2021-09-14,38,21
2021-09-13,53,21
2021-09-12,12,21
2021-09-11,29,21
2021-09-10,53,21
2021-09-09,40,21
2021-09-08,37,21
2021-09-07,47,21
2021-09-06,46,21
2021-09-05,15,21
2021-09-04,19,21
2021-09-03,38,21
2021-09-02,26,21
2021-09-01,39,21
2021-08-31,36,21
2021-08-30,39,21
2021-08-29,5,21
2021-08-28,18,21
2021-08-27,29,21
2021-08-26,41,21
2021-08-25,27,21
2021-08-24,32,21
2021-08-23,38,21
2021-08-22,17,21
2021-08-21,14,21
2021-08-20,28,21
2021-08-19,23,21
2021-08-18,29,21
2021-08-17,33,21
2021-08-16,39,21
2021-08-15,11,21
2021-08-14,30,21
2021-08-13,30,21
2021-08-12,22,21
2021-08-11,32,21
2021-08-10,35,21
2021-08-09,32,21
2021-08-08,11,21
2021-08-07,28,21
2021-08-06,32,21
2021-08-05,30,21
2021-08-04,38,21
2021-08-03,39,21
2021-08-02,29,21
2021-08-01,11,21
2021-07-31,19,21
2021-07-30,34,21
2021-07-29,23,21
2021-07-28,31,21
2021-07-27,24,21
2021-07-26,27,21
2021-07-25,11,21
2021-07-24,21,21
2021-07-23,25,21
2021-07-22,30,21
2021-07-21,27,21
2021-07-20,34,21
2021-07-19,30,21
2021-07-18,11,21
2021-07-17,22,21
2021-07-16,31,21
2021-07-15,31,21
2021-07-14,36,21
2021-07-13,35,21
2021-07-12,31,21
2021-07-11,11,21
2021-07-10,16,21
2021-07-09,26,21
2021-07-08,25,21
2021-07-07,32,21
2021-07-06,30,21
2021-07-05,36,21
2021-07-04,6,21
2021-07-03,18,21
2021-07-02,33,21
2021-07-01,33,21
2021-06-30,24,21
2021-06-29,31,21
2021-06-28,30,21
2021-06-27,6,21
2021-06-26,20,21
2021-06-25,26,21
2021-06-24,24,21
2021-06-23,27,21
2021-06-22,36,21
2021-06-21,29,21
2021-06-20,7,21
2021-06-19,17,21
2021-06-18,23,21
2021-06-17,26,21
2021-06-16,25,21
2021-06-15,27,21
2021-06-14,30,21
2021-06-13,12,21
2021-06-12,16,21
2021-06-11,22,21
2021-06-10,19,21
2021-06-09,33,21
2021-06-08,28,21
2021-06-07,27,21
2021-06-06,11,21
2021-06-05,14,21
2021-06-04,25,21
2021-06-03,19,21
2021-06-02,33,21
2021-06-01,35,21
2021-05-31,29,21
2021-05-30,10,21
2021-05-29,16,21
2021-05-28,38,21
2021-05-27,24,21
2021-05-26,32,21
2021-05-25,34,21
2021-05-24,4,21
2021-05-23,12,21
2021-05-22,14,21
2021-05-21,26,21
2021-05-20,25,21
2021-05-19,34,21
2021-05-18,38,21
2021-05-17,30,21
2021-05-16,17,21
2021-05-15,13,21
2021-05-14,29,21
2021-05-13,12,21
2021-05-12,28,21
2021-05-11,25,21
2021-05-10,23,21
2021-05-09,6,21
2021-05-08,11,21
2021-05-07,20,21
2021-05-06,28,21
2021-05-05,29,21
2021-05-04,27,21
2021-05-03,24,21
2021-05-02,10,21
2021-05-01,7,21
2021-04-30,23,21
2021-04-29,21,21
2021-04-28,23,21
2021-04-27,34,21
2021-04-26,33,21
2021-04-25,6,21
2021-04-24,10,21
2021-04-23,18,21
2021-04-22,19,21
2021-04-21,31,21
2021-04-20,16,21
2021-04-19,25,21
2021-04-18,13,21
2021-04-17,11,21
2021-04-16,25,21
2021-04-15,22,21
2021-04-14,20,21
2021-04-13,17,21
2021-04-12,17,21
2021-04-11,9,21
2021-04-10,19,21
2021-04-09,30,21
2021-04-08,22,21
2021-04-07,24,21
2021-04-06,28,21
2021-04-05,8,21
2021-04-04,5,21
2021-04-03,15,21
2021-04-02,3,21
2021-04-01,16,21
2021-03-31,29,21
2021-03-30,17,21
2021-03-29,18,21
2021-03-28,8,21
2021-03-27,13,21
2021-03-26,23,21
2021-03-25,17,21
2021-03-24,23,21
2021-03-23,20,21
2021-03-22,32,21
2021-03-21,8,21
2021-03-20,14,21
2021-03-19,24,21
2021-03-18,23,21
2021-03-17,36,21
2021-03-16,18,21
2021-03-15,25,21
2021-03-14,10,21
2021-03-13,19,21
2021-03-12,22,21
2021-03-11,26,21
2021-03-10,22,21
2021-03-09,28,21
2021-03-08,30,21
2021-03-07,9,21
2021-03-06,23,21
2021-03-05,22,21
2021-03-04,33,21
2021-03-03,32,21
2021-03-02,30,21
2021-03-01,37,21
2021-02-28,17,21
2021-02-27,20,21
2021-02-26,35,21
2021-02-25,27,21
2021-02-24,34,21
2021-02-23,21,21
2021-02-22,30,21
2021-02-21,12,21
2021-02-20,14,21
2021-02-19,42,21
2021-02-18,20,21
2021-02-17,23,21
2021-02-16,17,21
2021-02-15,26,21
2021-02-14,10,21
2021-02-13,23,21
2021-02-12,21,21
2021-02-11,22,21
2021-02-10,21,21
2021-02-09,30,21
2021-02-08,34,21
2021-02-07,6,21
2021-02-06,16,21
2021-02-05,30,21
2021-02-04,28,21
2021-02-03,25,21
2021-02-02,28,21
2021-02-01,31,21
2021-01-31,15,21
2021-01-30,13,21
2021-01-29,39,21
2021-01-28,27,21
2021-01-27,22,21
2021-01-26,14,21
2021-01-25,21,21
2021-01-24,8,21
2021-01-23,17,21
2021-01-22,13,21
2021-01-21,21,21
2021-01-20,26,21
2021-01-19,27,21
2021-01-18,29,21
2021-01-17,6,21
2021-01-16,13,21
2021-01-15,24,21
2021-01-14,22,21
2021-01-13,29,21
2021-01-12,23,21
2021-01-11,28,21
2021-01-10,5,21
2021-01-09,15,21
2021-01-08,26,21
2021-01-07,20,21
2021-01-06,20,21
2021-01-05,26,21
2021-01-04,26,21
2021-01-03,5,21
2021-01-02,14,21
2021-01-01,6,21
