company,frequency,recency,monetary,low_hp,medium_hp,high_hp,old_,recent_,low_mileage,medium_mileage,high_mileage,less_5k,_5k_10k_,_10k_,profit_per_car
Jeepservice BV,3,5,10,0,3,3,0,6,6,0,0,0,0,6,2193.5
MANTENIMIENTO TERRA Y JARDIN SLU,1,5,2,1,0,0,1,0,0,1,0,1,0,0,693
BUCCHERI ANNA MARIA,1,9,2,2,0,0,2,0,0,2,0,2,0,0,390.5
""" FIN CARS ""EOOD",1,9,2,1,0,0,1,0,0,0,1,1,0,0,-319
WebAutoBid s.r.o.,1,9,3,1,0,0,0,1,0,0,1,0,1,0,288
CAR FLORI- COMERCIO DE AUTOMOVEIS NOVOS E USADOS LDA,3,8,4,5,1,0,6,0,0,2,4,6,0,0,451.8333333
Lukáš Věříš,5,8,6,16,0,0,16,0,2,7,7,15,1,0,418.5625
COLOMBARA FABIO,1,10,2,1,0,0,1,0,0,1,0,1,0,0,412
PACO BRAVO AUTOMOCION SLL,1,10,3,1,0,0,1,0,0,1,0,0,1,0,908
SAS POMPOM VEHICULE,1,6,3,0,1,0,1,0,1,0,0,0,1,0,313
MCM COOL AUTO S.R.L.,1,7,3,1,1,0,2,0,0,1,1,2,0,0,563.5
"HS Autohändler, Inh. Haji Al Omar",3,6,5,5,0,0,5,0,1,4,0,3,1,1,818.4
BC LINE,2,8,9,0,0,3,0,3,3,0,0,0,0,3,2048.333333
CLS Autos 44,3,8,9,0,0,5,0,5,5,0,0,0,0,5,1319.2
LCH EXPERT SVS SRL,2,8,6,2,2,0,3,1,0,2,2,1,0,3,1303.5
GROUPE MARY - MARY AUTOMOBILES - LISIEUX - PEUGEOT,1,10,4,1,0,0,0,1,1,0,0,0,0,1,814
Pro Cars e.U.,1,9,5,0,2,0,1,1,0,2,0,0,0,2,-174.5
UAB ERVITRANS,2,1,7,2,0,1,0,3,1,1,1,0,0,3,861.3333333
"DHR VANSTRAELEN, BERT",4,3,9,10,0,0,0,10,10,0,0,0,0,10,563.4
Sn Automobile,1,9,4,0,1,0,1,0,0,1,0,0,0,1,454
TECHAUTO Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1,3,7,0,1,1,1,1,1,1,0,1,0,1,1226
SAS AMG AUTO 47,1,4,1,1,0,0,1,0,1,0,0,1,0,0,-305
"BeSa Automobile, Inh. Diellor Salihi",8,1,11,32,27,10,59,10,14,55,0,20,22,27,432.9275362
AUTO BENEK Krzysztof Szajwaj,5,1,7,15,0,0,14,1,0,10,5,7,8,0,607.6
ALLFORCARS s.r.o.,3,3,5,1,3,1,5,0,0,3,2,2,3,0,94.8
AUTOMOVILES VO DRIVER ESPAÑA SL,2,7,7,0,2,2,3,1,0,4,0,0,1,3,1056.5
L.D.Company s.r.o.,3,1,9,1,8,0,4,5,0,6,3,1,2,6,1137.777778
Autopark Henseleit GmbH,2,8,7,1,1,1,1,2,3,0,0,1,0,2,575.3333333
"AUTO HP, spol. s.r.o.",4,9,6,10,1,0,11,0,1,9,1,11,0,0,374.2727273
UAB Japanese car service,1,6,4,0,1,0,0,1,0,0,1,0,0,1,563
POSITIVEROAD - LDA,1,9,4,2,0,0,1,1,0,0,2,1,1,0,496.5
DANIEL & VERONICA SPA LDA,1,10,6,0,0,1,0,1,1,0,0,0,0,1,1354
M&M INVEST Sp. z o.o.,1,10,1,1,0,0,1,0,0,0,1,1,0,0,136
OM Motor SPRL,3,4,9,0,1,4,0,5,5,0,0,0,0,5,1449.2
SAS FDA,3,6,4,8,0,0,8,0,1,7,0,8,0,0,396.625
Tomasz Tańcula FIRMA HANDLOWO-USŁUGOWA,4,3,9,13,1,0,13,1,3,11,0,1,10,3,748.0714286
POPI ÉP SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1,10,3,0,1,0,1,0,0,0,1,0,1,0,-698
"MM AVTO, vzdrževanje in popravila motornih vozil d.o.o.",1,8,3,0,0,1,1,0,0,1,0,0,1,0,564
TRUCK DIESEL SERVICE SRL,1,8,5,0,2,0,1,1,0,0,2,0,1,1,1107.5
COMPACRISALE IMPEX S.R.L.,1,8,3,1,0,0,1,0,0,0,1,0,1,0,956
Autohaus Portland GmbH,7,1,9,22,11,0,33,0,6,26,1,20,10,3,542.9090909
Ezermalas Autoparks SIA,2,8,3,1,2,0,3,0,0,0,3,2,1,0,449.3333333
"Cofalik Nutzfahrzeuge, Inh. Miroslaw Damian Cofalik",2,1,7,1,2,0,0,3,3,0,0,0,0,3,648.3333333
AUTOLAND DRACHTEN,4,4,9,10,1,0,6,5,6,5,0,0,6,5,711.3636364
"BIURO RACHUNKOWE ""TeKa"" ANETA ZANIKOWSKA",2,8,4,4,0,0,2,2,0,4,0,4,0,0,487.5
Bilar99e Oy,1,10,5,2,0,0,1,1,1,1,0,0,1,1,2125.5
"Erdo-Automobile, Inh. Suad Hadzi",1,8,4,0,2,0,2,0,0,0,2,1,1,0,-796
ACE AVTO d.o.o.,3,1,11,0,0,8,0,8,8,0,0,0,0,8,2257.5
"Alex Im & Export, Inh. Mohamed El-Sayed",1,9,2,2,0,0,2,0,0,1,1,2,0,0,407.5
"Bohnsack Autohandel, Inh. Holger Bohnsack",2,5,5,3,1,0,4,0,4,0,0,1,3,0,745.75
LA BAZE AUTO,1,8,3,0,1,0,1,0,0,1,0,0,1,0,575
Autoliike Niio Oy,1,10,7,1,1,0,0,2,2,0,0,0,0,2,1450
SRL FAUBOURG CARS,2,7,7,4,0,0,0,4,4,0,0,0,0,4,1156
AUTOSERENA OCASION DE CASTUERA SL,2,10,4,2,1,0,2,1,0,2,1,1,2,0,593.6666667
Vihdin Autotalo Oy,1,10,7,0,2,0,0,2,2,0,0,0,0,2,690.5
Procar Daniel Konarski,2,8,4,4,0,0,4,0,0,4,0,2,2,0,541.5
RACE GARAGE SOCIETA' A RESPONSABILITA' LIMITATA,1,10,7,2,0,0,0,2,2,0,0,0,0,2,-17.5
Autohaus Lehr GmbH,4,9,10,2,7,2,0,11,11,0,0,0,0,11,974.8181818
Kraftfahrzeughandel Kaiser und Geub GbR,3,7,6,5,0,0,2,3,5,0,0,0,5,0,527.4
Autowelt GmbH,5,9,9,16,0,0,4,12,15,1,0,0,4,12,687.375
MD GRADIENT d.o.o.,2,10,7,0,1,2,1,2,1,1,1,0,1,2,-917.6666667
VAMETI CAR KFT,1,10,2,2,0,0,2,0,0,1,1,2,0,0,445.5
Ali El Nomairi,3,5,2,7,0,0,7,0,0,4,3,7,0,0,117.7142857
Louwman Occasioncenter B.V.,2,9,8,0,2,1,0,3,3,0,0,0,0,3,3275.333333
EXPRESS AUTO CONCEPT C.F SRL,2,10,4,3,1,0,4,0,0,1,3,3,1,0,672
RD car s.r.o.,3,5,7,9,0,0,9,0,0,9,0,3,6,0,670.7777778
Bender Carparts GmbH,1,8,1,2,0,0,2,0,0,2,0,2,0,0,92.5
DUKH YURII,1,8,1,1,0,0,1,0,0,1,0,1,0,0,298
BELGUS Ewelina Tęsna,1,9,2,1,0,0,1,0,0,0,1,1,0,0,420
"Car-Room Automobilagenture/Autowelt Münster, Inh. Mazlum Gülec",1,4,2,1,0,0,1,0,0,1,0,1,0,0,738
Auto Service Kerschoten,4,1,5,11,0,0,11,0,1,9,1,11,0,0,493.3636364
UAB Alnemeta,1,10,3,0,1,0,1,0,0,0,1,0,1,0,779
Fuglholt Biler ApS,1,10,7,0,0,1,0,1,1,0,0,0,0,1,1899
Trust Dearl Motors,2,7,7,2,1,1,0,4,1,3,0,0,2,2,983.25
Autohaus Graser GmbH,1,9,5,0,1,0,0,1,1,0,0,0,0,1,1496
Ernst Dello GmbH & Co. KG - Lübeck,5,8,10,12,4,0,1,15,16,0,0,0,1,15,788.625
""" FL & ET Group "" SH.P.K.",2,3,6,1,1,1,2,1,0,1,2,0,1,2,1476.666667
"A3 Bus & Nutzfahrzeughandel, Inh. Muhamed Bastürk",3,4,5,5,0,0,5,0,1,2,2,4,0,1,604.6
AUTOHAUS ORNIG GMBH. & CO.KG,1,9,5,0,1,0,0,1,0,1,0,0,0,1,930
GARAGE JAROUSSAT,1,10,2,1,0,0,1,0,1,0,0,1,0,0,-140
Sławomir Gwiżdż CARS - TRANS. Mała Gastronomia,1,9,3,0,1,0,1,0,0,1,0,0,1,0,300
KĘSTUTIS ADOMAITIS,1,9,2,1,0,0,1,0,0,0,1,1,0,0,601
GARDENCAR - COMÉRCIO DE AUTOMÓVEIS UNIPESSOAL LDA,2,8,7,2,1,0,0,3,3,0,0,0,0,3,234.3333333
ANTONIO MENESES FERREIRA UNIPESSOAL LDA,1,10,4,0,1,0,1,0,0,1,0,0,0,1,487
DRIVE TOMASZ STACHERA,1,8,5,2,0,0,0,2,0,0,2,0,1,1,-479.5
DEALER AUTOSTARK S.R.L.,4,3,8,5,5,1,11,0,0,6,5,4,4,3,773.6363636
SAS VIGNEUX AUTO,5,7,5,8,8,0,16,0,0,11,5,16,0,0,523.5625
Autowelt Dresden GmbH,3,5,6,5,0,0,3,2,3,2,0,0,3,2,837.6
RAISE EOOD,3,1,5,3,4,1,8,0,0,3,5,7,1,0,-6.75
AUTO-IMPORT Arkadiusz Gawroński,1,7,3,2,0,0,2,0,0,2,0,1,1,0,819.5
"FS Automobile, Inh. Froni Schulz",3,6,2,5,0,0,5,0,0,5,0,5,0,0,110.8
AUTOPROFIS Anhalt GmbH,4,7,7,11,1,0,11,1,10,2,0,7,3,2,311.9166667
"Autohaus Steffen Odenwaelder, Inh. Steffen Odenwälder",1,10,4,1,0,0,0,1,1,0,0,0,0,1,1067
"SKY AUTOMOBILE, Inh. Sascha Kosciankowsky",3,3,3,6,0,0,6,0,6,0,0,6,0,0,493.3333333
"Fürst Classics, Inh. Christoph Fürst",1,4,4,0,1,1,2,0,1,1,0,0,2,0,678.5
"Örnek Automobile, Inh. Serkan Örnek",1,8,3,0,1,0,1,0,0,0,1,0,1,0,347
SAS JEAN TUNESI SAS,2,8,7,1,2,0,0,3,3,0,0,0,0,3,787.3333333
MANUEL JOÃO PEREIRA CHALETA,1,8,3,1,0,0,1,0,1,0,0,0,1,0,350
POLNIKBIS Tomasz Nowak,3,8,6,4,1,0,5,0,0,4,1,0,5,0,991.4
Arba car Barbara Synowiec,1,8,3,2,0,0,2,0,0,1,1,1,1,0,637
Autohaus Worms GmbH,4,8,10,1,9,1,0,11,11,0,0,0,0,11,1559.181818
van der Wal en Zonen V.O.F.,7,8,11,26,6,0,0,32,32,0,0,0,0,32,914.28125
TODESCHINI FRANCO & C. S.N.C.,1,10,5,1,0,0,0,1,0,1,0,0,0,1,-1815
"Hafner Automobile, Inh. Gennadij Hafner",6,7,3,27,0,0,27,0,1,9,17,27,0,0,195.6666667
Autobedrijf MMK Tilburg,2,5,5,4,0,0,1,3,2,2,0,1,3,0,1320.5
"Carès, James Dryepondt",1,8,7,0,2,0,0,2,2,0,0,0,0,2,1537.5
"Kfz-Service Heilig, Inh. Timo Heilig",1,8,2,0,2,0,2,0,0,0,2,2,0,0,-348.5
Viktor Dušek,7,1,10,40,4,0,31,13,6,28,10,15,20,9,612.4545455
Sergej Rudi,9,1,10,85,34,1,119,1,14,99,7,119,0,1,457.2916667
GASPEN CZ s.r.o.,5,4,8,16,2,0,17,1,0,8,10,13,4,1,623.1666667
"Kfz Handel Ibic, Inh. Ivica Ibic",3,8,6,2,4,1,7,0,0,3,4,3,3,1,347.8571429
TKC-Styling Oy,2,7,8,1,0,3,2,2,1,3,0,0,0,4,355.75
AUTO STAINER SH.P.K,1,8,3,1,0,0,1,0,0,0,1,0,1,0,713
Jiří Bouchner,1,10,3,0,1,0,1,0,0,1,0,0,1,0,341
The Car House B.V.,1,10,7,1,0,1,0,2,2,0,0,0,0,2,1028.5
TRIMUS Mateusz Będzieszak,1,10,2,1,0,0,1,0,0,1,0,1,0,0,524
"Franck, Guy",2,3,4,3,0,0,3,0,1,2,0,0,3,0,649
Arabservice,1,10,2,1,0,0,1,0,0,1,0,1,0,0,240
Auto Heinz & Marx GmbH & Co. KG,3,5,9,1,4,0,0,5,5,0,0,0,0,5,1266
EUROREPAR BGS,2,7,5,1,2,0,3,0,0,3,0,2,0,1,614
Automsbelgique,2,7,2,3,0,0,3,0,0,3,0,3,0,0,243.3333333
AUTO ONE GROUP,1,10,2,1,0,0,1,0,0,1,0,1,0,0,277
LUPUS GROUP d.o.o.,2,6,3,3,0,0,3,0,0,2,1,3,0,0,316
Autobazár AutoMax -  Mackulin Dušan,6,1,9,18,4,0,20,2,0,22,0,13,9,0,496.9545455
S4Y SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2,7,3,1,2,0,3,0,0,1,2,2,1,0,-315.3333333
"IQ AVTO, ODKUP IN PRODAJA RABLJENIH VOZIL, DEJAN BERIĆ S.P.",5,1,9,11,6,1,13,5,2,9,7,1,13,4,911.5
"X-Line Motors, Inh. Gholamreza Mohammadi Movahed",2,2,5,2,0,1,2,1,1,1,1,1,0,2,756.6666667
Auto Service Kondolot GmbH,3,5,9,4,4,1,5,4,3,6,0,1,3,5,540.4444444
VAN DE LAAR AUTO'S & AUTOSCHADE B.V,4,5,9,10,0,0,3,7,8,2,0,0,2,8,1082.3
Elite Cars SIA,1,8,6,1,1,0,0,2,1,1,0,0,0,2,370.5
Kedvenc Autópark Kft,2,10,4,2,1,0,3,0,0,1,2,1,2,0,656.3333333
BLEST CAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,5,7,10,18,1,0,3,16,16,2,1,2,1,16,480.3684211
PAPANIKOY MAGDALINI EYSTATHIOS,2,8,5,2,1,0,1,2,0,1,2,0,1,2,213.3333333
NYM AUTOCASION IBERICA SL,2,9,7,0,3,1,1,3,2,2,0,0,1,3,-1939.5
"Americar, Inh. Michael Zeidler",2,7,4,3,0,1,4,0,1,3,0,3,1,0,426.25
GOLD SERVICE Arkadiusz Zadrożny,2,9,5,4,0,0,3,1,0,2,2,1,2,1,730
BOGÁT-CAR Kft.,1,8,4,1,0,0,0,1,1,0,0,0,0,1,544
"Giebler's Autowelt, Inh. Tobias Giebler",2,8,4,3,0,0,3,0,1,2,0,3,0,0,-90.33333333
AUTO SALLON AGONI SH.P.K.,1,8,4,2,0,0,2,0,0,1,1,0,2,0,881.5
Xhevat Shehaj,1,8,2,1,0,0,1,0,0,0,1,1,0,0,943
MB MOTO s. r. o.,1,5,2,1,0,0,1,0,0,1,0,1,0,0,306
COMPOSCAR SC,3,2,7,5,0,0,2,3,2,3,0,0,2,3,614.4
MAZURSKA GRUPA KAPITAŁOWA SP Z O.O.,1,10,1,1,0,0,1,0,0,1,0,1,0,0,194
Andor Pirntke,1,3,3,1,0,0,1,0,0,0,1,0,1,0,768
TRADING MOTORS,1,9,3,0,1,0,1,0,1,0,0,0,1,0,1312
BORA AAB SH.P.K,1,8,3,2,0,0,1,1,0,0,2,1,1,0,300.5
MOON DRIVE d.o.o.,1,5,2,1,0,0,1,0,0,1,0,1,0,0,347
Autohaus Voigt GmbH,2,9,7,2,2,0,1,3,4,0,0,0,1,3,960.5
Autoparadies Lübeck GmbH,1,10,2,1,0,0,1,0,0,0,1,1,0,0,392
B. u. F. Follmann Automobile GbR,5,6,7,15,0,0,15,0,9,6,0,15,0,0,609.2666667
VICENTE SOTO AUTOMOCION SL,2,6,6,1,1,1,0,3,0,3,0,0,1,2,-843.3333333
JORGE FERNANDO PEREIRA UNIPESSOAL LDA,2,9,5,2,1,0,3,0,0,3,0,0,3,0,1042.666667
SAS GARAGE JEAN PIERRE BROUSSOLLE,1,9,3,0,1,0,1,0,0,1,0,0,1,0,814
AUTOLIDER - Ltd.,1,10,2,1,0,0,1,0,0,1,0,1,0,0,562
AMP PIOTR PORZUCEK,3,7,3,3,2,0,5,0,0,2,3,5,0,0,0.8
SCORE 16 MOTORS,3,6,7,2,7,0,9,0,6,3,0,1,6,2,174.1111111
IONIQ AUTO KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1,4,4,2,0,0,1,1,1,0,1,1,0,1,784.5
"Auto Krücken, Inh. Petra Krücken",1,6,4,2,0,0,0,2,2,0,0,0,2,0,757
Provenzale Motor Village - Societa' A Responsabilita' Limitata Se Mplificata,1,10,2,2,0,0,2,0,0,1,1,2,0,0,269.5
Michal Odehnal,1,10,2,0,1,0,1,0,0,0,1,1,0,0,247
SAS AS MOTORS,5,3,9,12,6,0,18,0,3,15,0,1,16,1,887.7777778
Martin Křivka,1,9,4,0,1,0,0,1,0,1,0,0,0,1,774
Salamon Autó KFT.,1,8,2,1,0,0,1,0,0,1,0,1,0,0,275
S DZHI TRANS LTD,1,7,3,2,0,0,2,0,0,0,2,2,0,0,418
DECORTEX HORECA S.C. RAFAŁ KOSTRZEWSKI I REGINA KOSTRZEWSKA,2,3,3,4,0,0,4,0,0,1,3,4,0,0,487
"LV Auto, Inh. Valeriy Levynskyy",2,6,2,1,2,0,3,0,0,1,2,3,0,0,286.6666667
"Ender Automobile, Inh. Ender Göcek",1,10,3,0,1,0,1,0,0,1,0,0,1,0,-1274
Majd Haji Hassan,4,4,6,10,3,0,12,1,1,9,3,10,2,1,313.6153846
FIRMA HANDLOWO-USŁUGOWA ŁUKASZ ADAMCZYK,5,3,8,11,5,0,15,1,0,7,9,6,9,1,830.75
"Babel Automobile, Inh. Daniel Babel",1,10,4,0,1,0,0,1,0,1,0,0,0,1,1509
Tmi SF Trading,2,8,5,0,1,3,4,0,0,1,3,1,1,2,681.75
BERGAMO SANDRO,1,7,2,1,0,0,1,0,1,0,0,1,0,0,494
CS AUTOMOBILE,9,3,11,88,34,1,121,2,18,105,0,71,51,1,735.1544715
TZIOTAKIS PANAGIOTIS GEORGIOS,1,10,3,1,0,0,0,1,1,0,0,0,1,0,672
AUTO SHOWROOM PIATRA NEAMT S.R.L.,3,4,3,4,1,0,5,0,0,1,4,5,0,0,365.2
"Autocentrum u Labutě, spol. s.r.o.",4,3,5,11,0,0,10,1,2,7,2,10,1,0,562.4545455
Abild Trading,1,10,7,0,0,1,0,1,1,0,0,0,0,1,3245
Ivan Lajgot,1,10,2,1,0,0,1,0,0,0,1,1,0,0,633
AVTO PERLA D.O.O.,6,2,10,4,18,1,1,22,5,18,0,0,0,23,1187.478261
Böck Recycling GmbH & Co. KG,3,6,5,0,1,8,9,0,0,2,7,8,1,0,-80.33333333
Metamorf-Car Kft,3,3,5,9,0,0,9,0,1,7,1,9,0,0,445.3333333
GROUPE GUEUDET - AUTOMOBILE DE L’ALLIANCE - AMIENS & ABBEVILLE - NISSAN,7,5,11,24,10,3,7,30,37,0,0,0,7,30,721.1891892
SORTZE ELIKA SL,1,10,3,1,0,0,1,0,1,0,0,0,1,0,287
Autohaus Hornung GmbH & Co. KG,1,10,5,2,0,0,0,2,2,0,0,0,0,2,799.5
Syed Tariq & Habibullah Haji Met GbR,3,7,7,5,2,1,7,1,3,5,0,4,3,1,318.875
Autoforum Stockstadt,4,5,9,4,5,4,5,8,9,2,2,0,2,11,-767.4615385
MOBILEK-AUTO MICHAŁ ŚMIST,8,2,9,45,8,0,52,1,0,21,32,50,3,0,463.9622642
NAIAVKO ROMAN OLEKSANDROVYCH,3,6,5,8,0,0,8,0,0,2,6,7,1,0,557.375
Hora Roman,2,2,2,3,0,0,3,0,0,1,2,3,0,0,197.3333333
"CC Reifen Center, Inh. Carmelo Ciciriello",1,10,1,1,0,0,1,0,0,1,0,1,0,0,221
2970MOTORS LDA,1,10,3,1,0,0,0,1,1,0,0,0,1,0,630
VDC-car BV,2,9,7,2,1,0,0,3,3,0,0,0,1,2,1570.333333
Elikos EOOD,2,5,7,2,1,0,2,1,1,2,0,1,1,1,813.6666667
CLEMENT FUSIS,2,8,7,3,0,0,0,3,3,0,0,0,0,3,588.3333333
DEUTSCH AUTO 72,1,10,2,1,0,0,1,0,0,1,0,1,0,0,496
BARTOLI FRANCESCO,1,7,3,2,0,0,1,1,1,1,0,1,1,0,428
CARBUYER STN S.R.L.,1,7,2,1,0,0,1,0,0,0,1,1,0,0,968
bouhdayd younes,1,10,2,1,0,0,1,0,0,1,0,1,0,0,656
W&W CAR CLEAN ŁUKASZ WASILEWSKI,4,6,4,8,1,1,10,0,0,7,3,10,0,0,431.1
BVBA FLANDERS TRADING CENTER,3,1,9,5,1,2,4,4,3,5,0,0,4,4,963.875
Kállay2 Szerviz Kft,1,10,3,1,0,0,1,0,1,0,0,0,1,0,699
Excellent Service Can & Can GbR,1,9,4,0,1,0,1,0,1,0,0,0,0,1,408
EUROCARS BOGUSŁAW SZENDER,1,6,3,2,0,0,2,0,0,2,0,2,0,0,120.5
EURL CAR REPAIR CONCEPT,3,10,6,6,0,0,6,0,6,0,0,0,6,0,966.5
SAS GARAGE DES CONSTELLATIONS,4,7,6,14,0,0,13,1,11,3,0,12,1,1,493.9285714
G J HAAN,1,5,3,1,0,0,1,0,0,1,0,0,1,0,829
AUTOHANDEL SEOSEKA B.V.,4,8,9,4,5,1,0,10,10,0,0,0,0,10,1312.5
Wojciech Ewald Greenlandia,3,8,4,7,1,0,8,0,0,0,8,8,0,0,438.375
MARKAKIS IOANNIS KAI GEORGIA OE,1,9,3,1,0,0,0,1,0,1,0,0,1,0,321
SOUMPASIS EVAGGELOS ANTONIOS,2,6,5,4,0,0,0,4,4,0,0,0,4,0,-14.75
AutoSejdija An und Verkauf von PKW.s,2,8,3,3,0,0,3,0,1,1,1,3,0,0,351.6666667
DANIEL KRZYSZTOF ŁUKASZUK AUTO - PREMIUM,5,2,8,12,4,0,14,2,0,1,15,7,5,4,699.625
INAUTO S.R.L.,1,3,4,1,0,0,0,1,1,0,0,0,0,1,636
NUANCE AUTO SARL,5,4,11,7,7,2,0,16,16,0,0,0,0,16,1545.5
"MR VANMELLE, BART",2,9,7,2,1,0,0,3,3,0,0,0,0,3,1124
"Jarosław Stalmach FHU ""Jaro""",2,10,4,4,0,0,4,0,0,4,0,4,0,0,526.25
Zentorno cz s.r.o.,3,9,5,1,2,2,5,0,0,1,4,2,3,0,641.8
Radek Ležák,1,10,3,1,1,0,2,0,0,2,0,2,0,0,477.5
RUI COSTA DIGITAL CONSULTING UNIPESSOAL LDA,1,10,2,1,0,0,1,0,0,0,1,1,0,0,1006
BMSO,2,5,7,4,0,0,2,2,3,1,0,1,1,2,221.75
"SUBTILCAR,LDA",3,10,8,7,0,0,3,4,6,1,0,0,2,5,478.7142857
SIXSERVICESLT SL,1,10,4,0,1,0,1,0,1,0,0,0,0,1,447
