dates,cars_sold
2021-08-09,32
2021-08-10,35
2021-08-11,32
2021-08-12,22
2021-08-13,30
2021-08-14,30
2021-08-15,11
2021-08-16,39
2021-08-17,33
2021-08-18,29
2021-08-19,23
2021-08-20,28
2021-08-21,14
2021-08-22,17
2021-08-23,38
2021-08-24,32
2021-08-25,27
2021-08-26,41
2021-08-27,29
2021-08-28,18
2021-08-29,5
2021-08-30,39
2021-08-31,36
2021-09-01,39
2021-09-02,26
2021-09-03,38
2021-09-04,19
2021-09-05,15
2021-09-06,46
2021-09-07,47
2021-09-08,37
2021-09-09,40
2021-09-10,53
2021-09-11,29
2021-09-12,12
2021-09-13,53
2021-09-14,38
2021-09-15,36
2021-09-16,37
2021-09-17,47
2021-09-18,31
2021-09-19,15
2021-09-20,51
2021-09-21,40
2021-09-22,42
2021-09-23,36
2021-09-24,47
2021-09-25,31
2021-09-26,21
2021-09-27,40
2021-09-28,51
2021-09-29,41
2021-09-30,36
2021-10-01,37
2021-10-02,34
2021-10-03,31
2021-10-04,46
2021-10-05,64
2021-10-06,47
2021-10-07,49
2021-10-08,52
2021-10-09,40
2021-10-10,29
2021-10-11,58
2021-10-12,59
2021-10-13,55
2021-10-14,75
2021-10-15,45
2021-10-16,41
2021-10-17,21
2021-10-18,43
2021-10-19,57
2021-10-20,56
2021-10-21,56
2021-10-22,54
2021-10-23,47
2021-10-24,10
2021-10-25,67
2021-10-26,63
2021-10-27,68
2021-10-28,51
2021-10-29,60
2021-10-30,43
2021-10-31,27
2021-11-01,65
2021-11-02,75
2021-11-03,60
2021-11-04,65
2021-11-05,59
2021-11-06,47
2021-11-07,28
2021-11-08,68
2021-11-09,62
2021-11-10,70
2021-11-11,50
2021-11-12,56
2021-11-13,53
2021-11-14,25
2021-11-15,74
2021-11-16,65
2021-11-17,62
2021-11-18,64
2021-11-19,46
2021-11-20,34
2021-11-21,26
2021-11-22,67
2021-11-23,70
2021-11-24,64
2021-11-25,56
2021-11-26,44
2021-11-27,54
2021-11-28,21
2021-11-29,68
2021-11-30,66
2021-12-01,48
2021-12-02,58
2021-12-03,46
2021-12-04,40
2021-12-05,30
2021-12-06,57
2021-12-07,59
2021-12-08,61
2021-12-09,44
2021-12-10,60
2021-12-11,41
2021-12-12,26
2021-12-13,64
2021-12-14,49
2021-12-15,61
2021-12-16,58
2021-12-17,34
2021-12-18,36
2021-12-19,20
2021-12-20,52
2021-12-21,51
2021-12-22,33
2021-12-23,31
2021-12-24,26
2021-12-25,13
2021-12-26,18
2021-12-27,47
2021-12-28,62
2021-12-29,59
2021-12-30,63
2021-12-31,24
2022-01-01,17
2022-01-02,19
2022-01-03,64
2022-01-04,52
2022-01-05,89
2022-01-06,49
2022-01-07,75
2022-01-08,61
2022-01-09,21
2022-01-10,68
2022-01-11,82
2022-01-12,69
2022-01-13,54
2022-01-14,71
2022-01-15,53
2022-01-16,34
2022-01-17,78
2022-01-18,71
2022-01-19,56
2022-01-20,41
2022-01-21,59
2022-01-22,53
2022-01-23,20
2022-01-24,76
2022-01-25,69
2022-01-26,54
2022-01-27,48
2022-01-28,52
2022-01-29,56
2022-01-30,30
2022-01-31,77
2022-02-01,56
2022-02-02,54
2022-02-03,50
2022-02-04,64
2022-02-05,43
2022-02-06,21
2022-02-07,74
2022-02-08,64
2022-02-09,58
2022-02-10,72
2022-02-11,54
2022-02-12,48
2022-02-13,31
2022-02-14,58
2022-02-15,47
2022-02-16,58
2022-02-17,55
2022-02-18,69
2022-02-19,54
2022-02-20,34
2022-02-21,67
2022-02-22,63
2022-02-23,61
2022-02-24,54
2022-02-25,52
2022-02-26,42
2022-02-27,26
2022-02-28,63
2022-03-01,70
2022-03-02,48
2022-03-03,59
2022-03-04,55
2022-03-05,39
2022-03-06,28
2022-03-07,48
2022-03-08,34
2022-03-09,51
2022-03-10,45
2022-03-11,38
2022-03-12,34
2022-03-13,21
2022-03-14,50
2022-03-15,62
2022-03-16,46
2022-03-17,48
2022-03-18,47
2022-03-19,35
2022-03-20,21
2022-03-21,41
2022-03-22,46
2022-03-23,52
2022-03-24,59
2022-03-25,46
2022-03-26,46
2022-03-27,20
2022-03-28,52
2022-03-29,53
2022-03-30,49
2022-03-31,47
2022-04-01,38
2022-04-02,41
2022-04-03,18
2022-04-04,73
2022-04-05,52
2022-04-06,48
2022-04-07,67
2022-04-08,55
2022-04-09,46
2022-04-10,25
2022-04-11,58
2022-04-12,52
2022-04-13,48
2022-04-14,53
2022-04-15,25
2022-04-16,38
2022-04-17,20
2022-04-18,27
2022-04-19,49
2022-04-20,46
2022-04-21,58
2022-04-22,51
2022-04-23,42
2022-04-24,27
2022-04-25,76
2022-04-26,74
2022-04-27,62
2022-04-28,47
2022-04-29,56
2022-04-30,44
2022-05-01,21
2022-05-02,57
2022-05-03,54
2022-05-04,64
2022-05-05,55
2022-05-06,60
2022-05-07,45
2022-05-08,33
2022-05-09,70
2022-05-10,72
2022-05-11,62
2022-05-12,67
2022-05-13,60
2022-05-14,36
2022-05-15,41
2022-05-16,65
2022-05-17,63
2022-05-18,59
2022-05-19,61
2022-05-20,54
2022-05-21,36
2022-05-22,19
2022-05-23,69
2022-05-24,60
2022-05-25,40
2022-05-26,33
2022-05-27,71
2022-05-28,37
2022-05-29,35
2022-05-30,64
2022-05-31,64
2022-06-01,61
2022-06-02,58
2022-06-03,46
2022-06-04,32
2022-06-05,23
2022-06-06,19
2022-06-07,80
2022-06-08,66
2022-06-09,80
2022-06-10,47
2022-06-11,48
2022-06-12,27
2022-06-13,76
2022-06-14,66
2022-06-15,64
2022-06-16,48
2022-06-17,62
2022-06-18,39
2022-06-19,35
2022-06-20,77
2022-06-21,70
2022-06-22,64
2022-06-23,63
2022-06-24,57
2022-06-25,47
2022-06-26,32
2022-06-27,75
2022-06-28,72
2022-06-29,85
2022-06-30,59
2022-07-01,66
2022-07-02,47
2022-07-03,36
2022-07-04,89
2022-07-05,68
2022-07-06,59
2022-07-07,73
2022-07-08,65
2022-07-09,51
2022-07-10,39
2022-07-11,80
2022-07-12,52
2022-07-13,84
2022-07-14,60
2022-07-15,51
2022-07-16,50
2022-07-17,34
2022-07-18,66
2022-07-19,61
2022-07-20,54
2022-07-21,65
2022-07-22,57
2022-07-23,44
2022-07-24,33
2022-07-25,79
2022-07-26,71
2022-07-27,74
2022-07-28,69
2022-07-29,76
2022-07-30,45
2022-07-31,40
2022-08-01,76
2022-08-02,80
2022-08-03,81
2022-08-04,86
2022-08-05,86
2022-08-06,43
2022-08-07,40
2022-08-08,89
2022-08-09,82
2022-08-10,78
2022-08-11,71
2022-08-12,73
2022-08-13,46
2022-08-14,28
2022-08-15,98
2022-08-16,84
2022-08-17,78
2022-08-18,76
2022-08-19,67
2022-08-20,46
2022-08-21,33
2022-08-22,84
2022-08-23,66
2022-08-24,85
2022-08-25,69
2022-08-26,70
2022-08-27,47
2022-08-28,35
2022-08-29,69
2022-08-30,78
2022-08-31,71
2022-09-01,66
2022-09-02,77
2022-09-03,48
2022-09-04,39
2022-09-05,85
2022-09-06,75
2022-09-07,81
2022-09-08,67
2022-09-09,66
2022-09-10,51
2022-09-11,31
2022-09-12,91
2022-09-13,78
2022-09-14,86
2022-09-15,62
2022-09-16,75
2022-09-17,47
2022-09-18,34
2022-09-19,95
2022-09-20,86
2022-09-21,66
2022-09-22,85
2022-09-23,66
2022-09-24,69
2022-09-25,36
2022-09-26,97
2022-09-27,76
2022-09-28,88
2022-09-29,65
2022-09-30,100
2022-10-01,52
2022-10-02,30
2022-10-03,36
2022-10-04,58
2022-10-05,63
2022-10-06,91
2022-10-07,64
2022-10-08,43
2022-10-09,29
2022-10-10,70
2022-10-11,81
2022-10-12,62
2022-10-13,72
2022-10-14,69
2022-10-15,47
2022-10-16,32
2022-10-17,75
2022-10-18,78
2022-10-19,68
2022-10-20,69
2022-10-21,81
2022-10-22,53
2022-10-23,33
2022-10-24,71
2022-10-25,62
2022-10-26,63
2022-10-27,59
2022-10-28,76
2022-10-29,53
2022-10-30,29
2022-10-31,66
2022-11-01,66
2022-11-02,67
2022-11-03,69
2022-11-04,71
2022-11-05,55
2022-11-06,30
2022-11-07,82
2022-11-08,88
2022-11-09,73
2022-11-10,60
2022-11-11,64
2022-11-12,49
2022-11-13,24
2022-11-14,62
2022-11-15,57
2022-11-16,63
2022-11-17,55
2022-11-18,69
2022-11-19,56
2022-11-20,28
2022-11-21,76
2022-11-22,70
2022-11-23,65
2022-11-24,58
2022-11-25,65
2022-11-26,32
2022-11-27,27
2022-11-28,76
2022-11-29,79
2022-11-30,80
2022-12-01,57
2022-12-02,57
2022-12-03,45
2022-12-04,33
2022-12-05,76
2022-12-06,77
2022-12-07,53
2022-12-08,66
2022-12-09,64
2022-12-10,38
2022-12-11,39
2022-12-12,78
2022-12-13,74
2022-12-14,60
2022-12-15,63
2022-12-16,68
2022-12-17,49
2022-12-18,32
2022-12-19,63
2022-12-20,61
2022-12-21,61
2022-12-22,49
2022-12-23,53
2022-12-24,26
2022-12-25,25
2022-12-26,25
2022-12-27,64
2022-12-28,74
2022-12-29,80
2022-12-30,85
2022-12-31,31
2023-01-01,34
2023-01-02,91
2023-01-03,87
2023-01-04,88
2023-01-05,70
2023-01-06,86
2023-01-07,60
2023-01-08,38
2023-01-09,85
2023-01-10,90
2023-01-11,76
2023-01-12,60
2023-01-13,67
2023-01-14,50
2023-01-15,35
2023-01-16,91
2023-01-17,81
2023-01-18,84
2023-01-19,71
2023-01-20,75
2023-01-21,71
2023-01-22,29
2023-01-23,90
2023-01-24,99
2023-01-25,68
2023-01-26,65
2023-01-27,60
2023-01-28,50
2023-01-29,43
2023-01-30,83
2023-01-31,74
2023-02-01,75
2023-02-02,85
2023-02-03,58
2023-02-04,51
2023-02-05,37
2023-02-06,60
2023-02-07,74
2023-02-08,68
2023-02-09,72
2023-02-10,68
2023-02-11,51
2023-02-12,23
2023-02-13,74
2023-02-14,67
2023-02-15,60
2023-02-16,71
2023-02-17,43
2023-02-18,51
2023-02-19,36
2023-02-20,49
2023-02-21,60
2023-02-22,63
2023-02-23,63
2023-02-24,60
2023-02-25,44
2023-02-26,27
2023-02-27,56
2023-02-28,63
2023-03-01,62
2023-03-02,65
2023-03-03,55
2023-03-04,38
2023-03-05,36
2023-03-06,66
2023-03-07,55
2023-03-08,47
2023-03-09,18
2023-03-10,30
2023-03-11,17
2023-03-12,1
2023-03-13,46
2023-03-14,53
2023-03-15,54
2023-03-16,50
2023-03-17,48
2023-03-18,16
2023-03-19,0
2023-03-20,77
2023-03-21,80
2023-03-22,60
2023-03-23,55
2023-03-24,41
2023-03-25,10
2023-03-26,1
2023-03-27,76
2023-03-28,46
2023-03-29,67
2023-03-30,61
2023-03-31,53
2023-04-01,16
2023-04-02,0
2023-04-03,61
2023-04-04,57
2023-04-05,58
2023-04-06,47
2023-04-07,0
2023-04-08,24
2023-04-09,0
2023-04-10,0
2023-04-11,73
2023-04-12,74
2023-04-13,68
2023-04-14,60
2023-04-15,26
2023-04-16,0
2023-04-17,72
2023-04-18,63
2023-04-19,65
2023-04-20,78
2023-04-21,74
2023-04-22,21
2023-04-23,0
2023-04-24,78
2023-04-25,79
2023-04-26,73
2023-04-27,51
2023-04-28,66
2023-04-29,16
2023-04-30,0
2023-05-01,0
2023-05-02,75
2023-05-03,83
2023-05-04,53
2023-05-05,67
2023-05-06,20
2023-05-07,0
2023-05-08,93
2023-05-09,64
2023-05-10,54
2023-05-11,61
2023-05-12,59
2023-05-13,14
2023-05-14,0
2023-05-15,88
2023-05-16,52
2023-05-17,54
2023-05-18,0
2023-05-19,77
2023-05-20,8
2023-05-21,0
2023-05-22,73
2023-05-23,80
2023-05-24,52
2023-05-25,51
2023-05-26,46
2023-05-27,12
2023-05-28,0
2023-05-29,0
2023-05-30,91
2023-05-31,59
2023-06-01,52
2023-06-02,44
2023-06-03,17
2023-06-04,0
2023-06-05,67
2023-06-06,57
2023-06-07,68
2023-06-08,60
2023-06-09,44
2023-06-10,15
2023-06-11,0
2023-06-12,77
2023-06-13,71
2023-06-14,48
2023-06-15,56
2023-06-16,50
2023-06-17,20
2023-06-18,0
2023-06-19,48
2023-06-20,72
2023-06-21,41
2023-06-22,57
2023-06-23,54
2023-06-24,23
2023-06-25,0
2023-06-26,65
2023-06-27,62
2023-06-28,46
2023-06-29,46
2023-06-30,45
2023-07-01,34
2023-07-02,0
2023-07-03,63
2023-07-04,96
2023-07-05,47
2023-07-06,54
2023-07-07,70
2023-07-08,19
2023-07-09,0
2023-07-10,60
2023-07-11,64
2023-07-12,59
2023-07-13,61
2023-07-14,54
2023-07-15,24
2023-07-16,1
2023-07-17,79
2023-07-18,78
2023-07-19,67
2023-07-20,57
2023-07-21,59
2023-07-22,15
2023-07-23,0
2023-07-24,74
2023-07-25,93
2023-07-26,70
2023-07-27,51
2023-07-28,40
2023-07-29,12
2023-07-30,0
2023-07-31,80
2023-08-01,72
2023-08-02,63
2023-08-03,62
2023-08-04,41
2023-08-05,19
2023-08-06,0
2023-08-07,84
2023-08-08,74
2023-08-09,68
2023-08-10,47
2023-08-11,52
2023-08-12,32
2023-08-13,0
2023-08-14,87
2023-08-15,70
2023-08-16,79
2023-08-17,63
2023-08-18,78
2023-08-19,11
2023-08-20,0
2023-08-21,101
2023-08-22,88
2023-08-23,74
2023-08-24,59
2023-08-25,60
2023-08-26,18
2023-08-27,0
2023-08-28,105
2023-08-29,81
2023-08-30,92
2023-08-31,70
2023-09-01,75
2023-09-02,16
2023-09-03,0
2023-09-04,138
2023-09-05,85
2023-09-06,69
2023-09-07,75
2023-09-08,77
2023-09-09,28
2023-09-10,0
2023-09-11,106
2023-09-12,89
2023-09-13,64
2023-09-14,92
2023-09-15,81
2023-09-16,28
2023-09-17,4
2023-09-18,81
2023-09-19,83
2023-09-20,73
2023-09-21,59
2023-09-22,81
2023-09-23,29
2023-09-24,0
2023-09-25,87
2023-09-26,73
2023-09-27,84
2023-09-28,72
2023-09-29,70
2023-09-30,39
2023-10-01,0
2023-10-02,77
2023-10-03,1
2023-10-04,138
2023-10-05,68
2023-10-06,61
2023-10-07,15
2023-10-08,0
2023-10-09,108
2023-10-10,86
2023-10-11,64
2023-10-12,71
2023-10-13,72
2023-10-14,29
2023-10-15,0
2023-10-16,77
2023-10-17,73
2023-10-18,65
2023-10-19,69
2023-10-20,58
2023-10-21,35
2023-10-22,0
2023-10-23,91
2023-10-24,79
2023-10-25,91
2023-10-26,70
2023-10-27,58
2023-10-28,13
2023-10-29,0
2023-10-30,85
2023-10-31,50
2023-11-01,92
2023-11-02,70
2023-11-03,60
2023-11-04,50
2023-11-05,0
2023-11-06,116
2023-11-07,79
2023-11-08,81
2023-11-09,100
2023-11-10,88
2023-11-11,33
2023-11-12,0
2023-11-13,119
2023-11-14,108
2023-11-15,89
2023-11-16,77
2023-11-17,79
2023-11-18,26
2023-11-19,0
2023-11-20,119
2023-11-21,86
2023-11-22,103
2023-11-23,90
2023-11-24,76
2023-11-25,23
2023-11-26,0
2023-11-27,93
2023-11-28,92
2023-11-29,93
2023-11-30,80
2023-12-01,78
2023-12-02,25
2023-12-03,0
2023-12-04,97
2023-12-05,105
2023-12-06,102
2023-12-07,83
2023-12-08,59
2023-12-09,35
2023-12-10,0
2023-12-11,60
2023-12-12,59
2023-12-13,83
2023-12-14,68
2023-12-15,56
2023-12-16,31
2023-12-17,0
2023-12-18,76
2023-12-19,67
2023-12-20,66
2023-12-21,71
2023-12-22,76
2023-12-23,16
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,98
2023-12-28,61
2023-12-29,78
2023-12-30,26
2023-12-31,0
2024-01-01,0
2024-01-02,70
2024-01-03,74
2024-01-04,108
2024-01-05,117
2024-01-06,35
2024-01-07,0
2024-01-08,85
2024-01-09,78
2024-01-10,103
2024-01-11,93
2024-01-12,85
2024-01-13,31
2024-01-14,0
2024-01-15,58
2024-01-16,93
2024-01-17,89
2024-01-18,75
2024-01-19,74
2024-01-20,26
2024-01-21,0
2024-01-22,87
2024-01-23,85
2024-01-24,81
2024-01-25,86
2024-01-26,59
2024-01-27,26
2024-01-28,0
2024-01-29,97
2024-01-30,98
2024-01-31,91
2024-02-01,91
2024-02-02,78
2024-02-03,24
2024-02-04,0
2024-02-05,83
2024-02-06,112
2024-02-07,87
2024-02-08,90
2024-02-09,73
2024-02-10,38
2024-02-11,0
2024-02-12,82
2024-02-13,82
2024-02-14,85
2024-02-15,89
2024-02-16,86
2024-02-17,12
2024-02-18,0
2024-02-19,102
2024-02-20,116
2024-02-21,131
2024-02-22,81
2024-02-23,83
2024-02-24,17
2024-02-25,0
2024-02-26,107
2024-02-27,98
2024-02-28,79
2024-02-29,90
2024-03-01,74
2024-03-02,36
2024-03-03,0
2024-03-04,87
2024-03-05,98
2024-03-06,107
2024-03-07,75
2024-03-08,50
2024-03-09,11
2024-03-10,0
2024-03-11,90
2024-03-12,126
2024-03-13,84
2024-03-14,71
2024-03-15,60
2024-03-16,46
2024-03-17,0
2024-03-18,101
2024-03-19,89
2024-03-20,96
2024-03-21,90
2024-03-22,102
2024-03-23,45
2024-03-24,0
2024-03-25,96
2024-03-26,110
2024-03-27,72
2024-03-28,79
2024-03-29,0
2024-03-30,47
2024-03-31,0
2024-04-01,0
2024-04-02,99
2024-04-03,114
2024-04-04,113
2024-04-05,101
2024-04-06,36
2024-04-07,0
