ID,Rating_2021,Awards_Won_2021,Avg_Training_Score_2021,Was_Promoted_2021,Rating_2022,Awards_Won_2022,Avg_Training_Score_2022,Is_Promoted_2022
4521,3,0,79,1,4,1,63,
7768,5,0,56,0,3,0,64,
1511,5,0,82,0,5,0,52,
5879,3,0,83,0,5,1,73,
6560,3,0,63,0,4,0,86,
1311,3,0,51,0,3,0,87,
1758,,0,72,0,5,1,86,
2338,3,0,54,1,3,1,86,
7043,5,0,52,0,4,0,89,
2857,3,0,87,0,3,1,83,
4567,3,0,56,0,2,0,47,
7260,4,0,87,0,2,0,53,
8441,4,0,59,0,2,1,41,
2943,5,0,57,0,4,0,88,
6764,4,0,78,0,1,1,95,
4915,3,0,62,0,4,0,75,
2128,1,0,77,0,5,1,41,
4236,5,0,80,0,2,0,53,
9622,1,0,78,0,5,1,92,
8474,3,0,59,0,5,0,50,
998,1,0,51,0,3,1,61,
1542,5,0,59,0,4,1,72,
9629,4,0,43,0,2,0,65,
3391,2,0,62,0,2,1,47,
8753,2,0,47,0,2,0,47,
7979,1,0,,0,3,1,61,
7841,3,0,56,0,5,0,68,
9592,4,0,48,0,4,0,43,
5346,5,0,60,0,5,1,41,
3725,2,0,48,0,5,1,60,
4181,3,0,54,0,5,0,92,
6728,4,0,80,0,1,1,71,
1671,3,0,52,0,3,0,88,
8722,3,0,,1,2,1,65,
3548,3,0,69,0,1,0,40,
6481,3,0,87,0,1,0,80,
1236,2,0,82,0,4,1,89,
2275,3,0,87,0,2,0,92,
9195,5,0,51,0,2,0,93,
6275,3,0,51,0,2,1,82,
4640,3,0,86,0,5,0,71,
7828,1,0,52,0,5,1,53,
4319,3,0,56,0,4,1,91,
8309,,0,76,0,3,1,46,
9191,3,0,48,0,2,0,71,
4891,5,0,66,1,4,1,76,
641,1,0,86,0,4,1,97,
8004,3,0,58,0,5,0,71,
799,3,0,57,0,2,0,55,
3149,1,0,86,0,1,1,48,
6967,3,0,44,0,5,0,74,
2170,5,0,60,0,2,0,89,
2710,1,0,82,0,2,0,89,
4843,1,0,49,0,5,0,89,
7070,5,0,47,0,5,1,77,
9876,5,0,58,0,5,0,60,
9295,4,0,52,0,2,0,47,
6316,2,0,46,0,1,0,63,
7057,3,0,77,0,3,0,71,
9455,5,0,65,0,2,1,56,
686,1,0,50,0,3,0,76,
8154,4,0,66,0,5,0,75,
3046,5,0,57,0,5,0,40,
3869,4,0,57,0,1,0,86,
3200,3,0,84,0,4,0,72,
5186,5,0,84,1,3,0,83,
6224,5,0,60,0,2,1,73,
4672,3,0,50,0,2,0,79,
5411,5,0,72,1,1,1,40,
5670,4,0,87,0,1,0,61,
3132,5,0,47,0,1,0,81,
3087,1,0,63,0,3,0,41,
4371,4,0,64,0,5,1,60,
5659,3,0,,0,3,1,78,
6943,3,0,81,0,1,1,85,
570,3,0,59,0,5,1,81,
4918,3,0,53,0,5,1,61,
6455,4,0,59,0,5,0,69,
2010,1,0,49,0,2,0,40,
712,,0,62,1,5,1,51,
4051,5,0,82,0,1,0,53,
9712,3,0,57,0,4,0,77,
693,5,0,63,0,1,1,57,
1672,,0,68,0,3,0,99,
9607,4,0,55,0,4,1,88,
3365,5,0,57,0,4,1,49,
8393,5,0,71,0,2,1,68,
7296,5,0,65,0,4,1,89,
46,3,0,79,0,4,1,67,
6952,4,0,86,0,4,0,52,
7384,,0,50,0,1,1,57,
4780,4,0,52,0,4,1,100,
4874,2,0,51,0,5,1,58,
5037,3,0,63,0,2,0,64,
5317,3,0,51,0,2,1,95,
3493,3,0,58,0,2,1,76,
4625,1,0,47,0,2,0,96,
2224,1,0,49,0,1,0,44,
3619,4,0,50,0,2,1,55,
6083,2,0,,0,5,0,83,
8395,5,0,54,0,5,0,65,
3122,3,0,79,0,1,1,62,
2809,5,0,,0,1,1,43,
625,3,0,49,0,3,0,61,
2784,3,0,71,0,2,1,97,
7612,3,0,,0,3,1,74,
160,,0,69,0,4,1,46,
224,5,0,56,0,4,1,85,
285,3,0,51,0,1,1,57,
7984,4,0,70,0,3,1,44,
2355,3,0,68,0,2,0,79,
8880,4,0,62,0,2,0,91,
696,3,0,55,0,2,1,75,
6016,3,0,,0,5,1,76,
700,5,0,69,1,4,0,77,
7381,5,0,97,1,5,1,92,
7839,3,0,52,0,4,0,48,
9837,3,0,60,1,2,0,44,
906,3,0,85,0,3,1,73,
1645,3,0,57,0,4,1,91,
8793,1,0,81,0,3,1,85,
4025,3,0,81,0,5,0,65,
6144,4,0,60,0,3,1,94,
7363,3,0,63,0,3,0,44,
1978,,0,49,1,5,1,99,
8021,5,0,73,1,5,0,58,
6611,5,0,82,0,3,0,77,
4460,3,0,78,0,5,1,66,
4010,5,0,49,0,5,1,49,
7435,5,0,52,0,2,1,51,
7936,4,0,85,0,4,1,41,
7529,3,0,58,0,4,0,64,
5284,5,0,51,0,2,0,56,
8242,4,0,48,0,5,1,58,
493,2,0,,0,5,0,96,
9866,1,0,50,0,1,1,66,
2269,2,0,49,0,4,1,65,
5602,3,0,67,0,4,1,78,
8387,5,0,62,0,1,0,56,
6598,5,0,,1,3,0,94,
3107,3,0,47,0,1,0,85,
4814,1,0,48,0,4,1,59,
8680,2,0,64,0,4,0,89,
3360,5,0,86,0,4,0,52,
8882,4,0,62,0,1,1,99,
4234,4,0,48,0,5,0,75,
9718,4,0,58,0,2,0,98,
1288,4,0,59,1,4,0,72,
6607,2,0,85,0,3,1,62,
9423,4,0,83,0,1,0,72,
7673,5,0,60,0,2,1,49,
4482,,0,66,0,5,0,49,
9060,3,0,70,0,2,1,47,
664,4,0,48,0,2,1,59,
3489,1,0,47,0,1,1,75,
279,3,0,48,0,3,1,97,
7495,,0,53,0,1,0,41,
8243,2,0,60,0,1,1,78,
57,1,0,82,0,1,0,53,
6754,4,0,79,0,3,0,66,
2492,3,0,70,0,4,1,81,
5079,4,0,70,0,5,1,82,
1362,,1,54,0,3,1,97,
5868,3,0,91,0,3,0,41,
1365,2,0,66,0,4,1,43,
2887,3,0,58,0,1,1,82,
1319,1,0,68,0,4,0,46,
5851,1,0,62,0,4,1,90,
3941,3,0,46,0,5,0,60,
1081,3,0,60,0,2,1,49,
930,3,0,84,0,3,0,81,
5795,3,0,48,0,2,0,70,
1072,3,0,64,0,2,0,51,
6322,5,0,62,0,3,1,49,
1090,3,0,78,0,4,0,55,
8174,5,0,81,0,3,0,49,
3847,4,0,82,0,1,1,66,
5087,3,0,73,0,3,0,91,
7403,4,0,57,0,2,1,84,
1575,5,0,58,0,3,1,56,
8053,4,0,49,0,5,1,43,
7802,4,0,51,0,5,1,86,
5790,5,0,84,0,4,0,77,
1487,5,0,51,1,1,0,44,
6957,3,0,68,0,2,0,99,
7846,5,0,60,0,1,1,87,
7934,4,0,59,0,5,1,51,
8104,5,0,57,0,3,0,72,
7223,2,0,73,1,2,1,62,
5745,4,0,82,0,4,1,83,
9819,3,0,68,0,1,1,64,
9852,5,0,58,0,4,0,57,
5656,3,0,68,0,5,1,88,
5771,1,0,50,0,3,0,73,
6048,3,0,48,0,2,0,70,
7530,1,0,54,0,5,0,63,
5000,3,0,86,0,4,0,79,
6309,4,0,69,0,2,0,40,
7833,4,0,60,0,5,1,40,
1532,4,0,48,0,3,1,76,
1860,5,0,49,0,1,0,69,
354,5,0,69,0,1,1,83,
2456,4,0,43,0,2,0,55,
3053,5,0,82,0,3,1,93,
1682,5,0,60,0,3,0,92,
1398,3,0,84,0,4,0,80,
7695,5,0,,0,1,0,68,
1075,2,0,55,0,3,0,70,
4550,5,0,89,1,5,1,76,
6270,3,0,,0,1,1,61,
3016,5,0,63,0,2,0,81,
7687,1,0,62,0,3,1,75,
3314,1,0,83,0,5,1,77,
3330,5,0,46,0,1,1,47,
89,1,0,50,0,3,0,68,
3851,5,0,,0,1,1,88,
8967,1,0,49,0,1,1,97,
7098,3,0,68,0,5,0,82,
3782,1,0,47,0,4,0,59,
4957,3,0,86,0,1,0,70,
7757,3,0,81,0,3,1,70,
6289,4,0,49,0,3,0,78,
143,1,0,52,0,3,0,48,
5440,5,0,51,0,2,0,50,
2077,5,0,86,1,1,1,75,
7069,2,0,60,0,4,1,67,
3687,3,0,50,0,2,0,52,
6466,3,0,48,0,1,1,47,
4606,,0,69,0,1,1,64,
1042,5,0,89,0,5,1,75,
1909,1,0,56,0,4,1,60,
5654,1,0,63,0,3,0,54,
1966,3,0,83,0,1,0,90,
8684,4,0,58,0,3,0,54,
2253,5,0,50,0,1,0,86,
9981,1,0,79,0,3,1,98,
9099,1,0,50,0,1,1,66,
6175,1,0,76,0,3,0,75,
6459,,0,62,0,1,1,86,
1343,3,0,79,0,2,0,90,
1914,5,0,48,0,3,0,56,
4901,5,0,56,0,4,0,72,
6448,3,0,76,0,1,1,55,
6675,3,0,47,0,4,1,61,
8661,3,0,81,1,5,1,72,
6185,3,0,84,1,1,0,61,
7650,5,0,59,0,2,1,70,
2142,3,0,52,0,2,0,88,
2420,1,0,81,0,1,0,77,
4347,5,0,72,0,4,1,57,
4308,5,0,72,1,3,0,73,
4691,1,0,60,0,2,0,91,
5210,,0,82,0,3,1,83,
7573,5,0,78,1,2,0,63,
3722,3,0,81,0,2,1,82,
7147,3,0,79,0,1,1,45,
45,1,0,71,0,4,1,69,
1459,4,0,50,1,4,0,87,
2506,4,0,54,0,5,1,79,
4376,4,0,49,0,2,1,60,
2675,5,0,73,0,1,1,92,
2967,4,0,82,0,5,1,44,
4958,5,0,80,1,5,0,70,
1150,5,0,47,1,5,0,81,
1764,,0,57,0,1,0,67,
5007,5,0,54,0,4,0,44,
1392,2,0,87,0,4,1,58,
1772,5,0,59,0,1,0,79,
3574,5,0,60,0,1,0,42,
8781,5,0,71,0,4,1,84,
5661,2,0,46,0,5,1,67,
6793,,0,80,0,5,1,65,
207,3,0,49,0,1,0,92,
4660,4,0,54,0,4,1,68,
6268,4,0,89,1,5,0,78,
1506,5,0,57,0,4,1,53,
2606,3,0,86,0,3,0,75,
2918,5,0,48,1,4,0,59,
3032,5,0,54,0,4,1,53,
7132,3,0,70,1,1,0,77,
3102,3,0,84,0,2,0,89,
2651,5,0,49,0,3,0,41,
7171,4,0,57,0,2,0,66,
2837,4,0,57,0,4,1,99,
3602,3,0,59,0,5,0,63,
750,4,0,60,0,1,0,45,
2717,2,0,85,0,3,0,78,
4455,4,0,63,0,5,1,56,
6555,5,0,87,0,5,0,49,
8307,1,0,48,0,1,0,50,
8743,1,0,53,0,3,0,45,
4175,3,0,50,0,4,0,96,
7235,,0,82,0,4,0,80,
9,3,0,77,0,3,1,96,
6119,5,0,83,0,5,0,71,
7691,,0,60,0,1,1,61,
6308,3,0,84,0,1,1,69,
9416,5,0,58,0,2,0,83,
146,5,0,83,0,1,0,47,
8409,4,0,89,0,3,0,42,
5548,3,0,72,0,4,1,58,
9764,5,0,60,1,3,1,52,
436,3,0,82,0,3,1,92,
4381,,0,62,0,1,0,92,
6020,,0,80,0,4,1,71,
1719,5,0,55,0,5,0,72,
228,,0,51,0,3,0,50,
1082,4,0,69,0,1,0,75,
4701,4,0,70,0,5,0,97,
4065,4,0,58,0,1,0,92,
5673,2,0,83,0,2,1,43,
8036,3,0,,0,5,0,82,
8434,4,0,52,0,3,0,45,
4342,,0,56,0,1,1,42,
6375,3,0,76,0,5,0,79,
6496,,1,98,1,2,0,52,
4329,1,0,88,0,1,0,78,
4980,3,0,49,0,4,1,57,
7192,4,0,59,0,5,1,85,
8345,,0,,0,4,1,76,
9774,4,0,56,0,5,0,40,
1877,4,0,51,0,3,0,43,
5295,5,0,49,0,1,0,96,
1938,3,0,49,0,1,0,80,
4950,3,0,57,0,5,1,43,
5215,1,0,49,0,3,1,98,
3009,4,0,59,0,5,1,52,
35,3,0,84,0,1,1,48,
3013,1,0,62,0,5,0,52,
3600,3,0,57,0,3,1,98,
7784,3,0,47,0,4,0,53,
9364,3,0,57,0,4,0,67,
5720,,0,,1,2,1,91,
1615,3,0,49,0,1,0,45,
4733,3,0,85,0,1,1,48,
7568,3,0,59,0,5,0,73,
9894,3,0,51,0,2,0,47,
3788,1,0,50,0,1,1,82,
4003,5,0,88,0,2,1,97,
8408,3,0,46,0,3,0,87,
8358,,0,80,1,4,0,86,
3014,1,0,53,0,1,0,52,
5240,3,0,55,0,5,1,89,
8501,5,0,74,0,2,1,65,
9867,,1,78,0,5,1,63,
2290,3,0,58,0,5,0,62,
5220,4,0,,0,3,0,48,
2108,3,0,58,0,1,1,91,
7557,5,0,69,0,1,0,72,
9488,3,0,51,0,5,0,50,
1442,4,0,82,0,4,0,95,
6723,5,0,50,0,4,0,71,
9586,,0,51,0,2,1,88,
2589,2,0,53,0,3,1,43,
8495,1,0,49,0,4,0,79,
7832,3,0,51,0,5,0,80,
5277,4,0,83,0,1,1,58,
1177,3,0,86,0,5,0,47,
2948,3,0,60,0,3,1,68,
296,2,0,67,0,1,1,74,
7452,,0,78,0,3,0,90,
6964,,0,50,0,2,0,41,
39,5,0,47,0,5,1,89,
3833,5,0,52,0,2,0,89,
5514,5,0,53,0,3,1,64,
9781,3,0,47,1,4,0,50,
2239,,0,57,0,4,0,87,
5124,4,0,89,1,1,0,61,
4730,2,0,54,0,2,1,54,
7559,3,1,54,0,3,1,53,
4067,3,0,73,0,4,1,53,
5903,5,0,60,0,5,1,46,
1110,2,0,48,0,2,0,90,
4132,3,0,49,0,3,0,66,
2191,1,0,50,0,1,1,61,
9188,2,0,50,0,1,1,89,
2736,3,0,79,0,1,1,91,
6864,5,0,87,1,3,1,81,
7943,3,0,70,0,1,0,66,
3306,3,0,65,0,2,1,43,
7679,3,0,58,0,2,0,42,
1423,5,0,58,0,5,0,69,
7526,4,0,72,0,2,0,56,
5082,5,0,99,1,3,0,78,
516,3,0,48,0,1,1,53,
3819,4,0,49,0,1,1,80,
273,3,0,66,0,3,0,99,
4636,3,0,65,0,2,0,76,
8980,3,0,49,0,4,0,53,
1702,4,0,57,0,4,0,40,
1835,3,0,50,0,4,0,72,
6114,3,0,49,0,3,0,75,
8328,3,0,67,0,2,0,74,
6947,3,0,57,0,5,1,53,
2432,3,0,53,0,3,0,75,
3139,,0,,0,1,1,90,
406,3,0,,0,1,1,55,
6847,5,0,52,0,5,0,60,
8695,5,0,59,1,3,0,96,
992,5,0,85,0,2,1,87,
5572,3,0,83,0,4,0,56,
6534,4,0,81,0,1,1,99,
2996,3,0,65,0,3,1,95,
2553,3,0,51,0,5,0,40,
2157,3,0,46,0,4,0,69,
5576,4,0,76,0,2,1,88,
5843,3,0,47,0,1,0,79,
3166,3,0,,0,1,0,79,
8652,1,0,51,0,5,1,69,
365,3,0,69,0,4,1,77,
1121,3,0,70,0,4,1,57,
4568,4,0,53,0,5,1,67,
7575,1,0,82,0,1,1,56,
9000,2,0,75,1,3,1,82,
9686,1,0,49,0,2,0,75,
2443,,0,68,0,5,0,43,
8635,3,0,60,1,3,1,47,
1900,3,0,75,0,1,1,89,
3551,3,0,76,0,2,0,58,
5751,3,0,51,0,1,1,48,
6916,3,0,87,0,2,0,51,
9882,2,0,49,0,1,0,56,
6603,1,0,47,0,4,0,98,
9320,5,0,78,0,1,0,88,
9643,3,0,58,0,5,1,98,
1432,4,0,54,0,4,0,70,
7011,1,0,59,0,2,1,45,
270,5,0,,0,3,0,65,
2742,2,0,59,0,3,0,56,
8829,4,0,60,0,2,0,81,
2794,5,0,78,0,1,1,74,
3893,1,0,50,0,3,0,94,
6763,1,0,77,0,3,1,86,
1464,4,0,83,0,1,0,88,
4657,3,0,51,0,1,0,42,
1713,3,0,82,0,4,0,87,
3622,5,0,81,0,2,0,65,
8591,4,0,44,0,1,0,94,
5187,5,0,63,1,4,1,51,
8452,3,0,52,0,1,1,81,
3110,3,0,70,0,1,0,66,
5532,4,0,70,0,4,0,83,
3517,4,0,54,0,1,1,52,
5721,4,0,60,0,5,0,40,
3943,,0,66,0,2,0,88,
6444,5,1,54,0,3,0,77,
9266,5,0,53,0,5,1,65,
5343,4,0,58,0,3,1,91,
946,,0,,0,2,0,87,
5594,3,0,59,0,3,0,76,
5256,3,0,49,0,5,0,96,
7546,2,0,49,0,3,1,48,
8197,3,0,80,0,2,0,54,
896,5,0,52,0,5,1,52,
241,2,0,60,0,4,1,45,
7378,4,0,80,0,3,0,88,
6508,4,0,60,0,5,1,46,
6453,3,0,58,0,4,1,66,
6514,5,0,68,1,4,1,43,
3616,,0,60,0,2,1,47,
8944,4,0,82,0,3,1,87,
4365,1,0,48,0,5,1,77,
2667,3,0,57,0,5,1,87,
7422,1,0,,0,2,0,94,
2518,5,0,84,0,4,0,46,
4146,4,0,60,0,4,1,92,
6471,5,0,58,0,2,0,41,
9009,3,0,78,0,1,0,56,
3585,3,0,48,0,1,0,56,
5406,5,0,49,0,3,0,100,
7610,4,0,99,1,4,1,88,
5708,2,0,49,0,2,1,84,
2404,4,0,49,0,2,0,78,
6631,3,0,,0,5,1,85,
9680,5,0,81,0,3,0,47,
4682,5,0,86,0,1,0,99,
5665,1,0,58,0,1,1,59,
2381,4,0,68,0,3,0,68,
2672,3,0,50,0,2,0,81,
9308,3,0,47,0,4,0,53,
469,1,0,72,0,2,1,50,
7111,3,0,72,1,2,0,84,
7851,2,0,52,0,4,0,50,
9880,1,0,86,0,1,0,42,
3631,2,0,47,0,4,0,53,
3918,2,0,86,0,4,0,79,
6583,5,0,72,0,4,1,49,
3719,3,0,60,0,4,0,98,
5967,,0,49,0,1,1,89,
3900,3,0,52,0,4,0,41,
5829,5,0,81,0,2,1,72,
5417,4,0,80,0,3,1,61,
6437,3,0,48,0,1,0,84,
8761,1,0,62,0,4,0,96,
9778,4,0,59,0,4,0,93,
3939,3,0,85,0,4,1,63,
7096,1,0,49,0,4,1,85,
9092,4,0,59,0,4,1,62,
5902,3,0,79,0,3,1,79,
8072,5,0,70,1,4,1,87,
9383,1,0,51,0,4,0,66,
1743,4,0,49,0,2,0,79,
1854,3,0,86,0,2,0,74,
9911,1,0,46,0,1,0,63,
8493,3,0,50,0,1,0,79,
3643,2,0,86,0,3,0,50,
5153,3,0,97,1,3,0,68,
8442,4,0,70,0,1,1,90,
2015,1,0,50,0,3,1,49,
2322,5,0,86,0,1,1,41,
9250,2,0,46,0,4,1,74,
1648,4,0,83,0,2,1,56,
6123,3,0,72,0,5,1,52,
9504,5,0,69,0,3,0,54,
9690,1,0,52,0,1,0,85,
2541,4,0,64,0,1,1,48,
5577,3,0,69,0,3,1,56,
8335,3,0,74,0,2,1,58,
5527,5,0,84,0,5,0,86,
9689,5,0,55,0,3,0,60,
3421,,0,,0,5,0,48,
6691,3,0,,0,4,1,61,
3680,3,0,46,0,5,1,94,
4451,,0,50,0,5,1,96,
7552,3,0,66,0,5,0,82,
4731,4,0,68,0,5,1,79,
2277,5,0,64,0,5,1,76,
4332,4,0,62,0,3,0,63,
737,,0,85,0,1,1,42,
1773,1,0,50,0,2,0,42,
3998,,0,48,0,3,0,56,
2027,1,0,58,0,2,1,73,
2025,5,0,82,0,5,0,68,
7430,3,0,68,0,4,1,80,
580,1,0,82,0,3,1,88,
337,1,0,54,0,4,1,67,
6360,4,0,47,0,2,0,62,
403,3,0,68,0,4,0,64,
1049,5,0,94,1,4,0,79,
3051,2,0,52,0,3,1,78,
4677,3,0,70,0,5,0,83,
4370,1,0,87,0,3,0,67,
5451,3,0,57,0,4,0,89,
1826,1,0,69,0,1,1,70,
6865,4,0,71,0,5,1,98,
4723,1,0,65,0,5,0,82,
7592,3,0,84,0,2,0,87,
1725,4,0,70,0,3,0,50,
6389,,0,,0,2,1,69,
6901,3,0,56,0,3,1,60,
8094,2,0,78,0,3,0,89,
4986,5,0,49,0,3,1,43,
7232,1,0,87,0,3,1,96,
3592,5,0,76,1,5,1,55,
9008,1,0,52,0,4,0,44,
394,4,0,50,0,5,1,83,
3120,2,0,55,0,2,1,64,
9598,4,0,85,0,2,0,74,
2572,3,0,86,0,2,1,97,
9995,3,0,57,0,1,0,92,
7769,3,0,47,0,2,1,77,
9432,3,0,62,1,3,1,77,
359,5,0,76,1,4,1,66,
3369,4,0,59,0,2,0,58,
3990,5,0,84,1,5,0,59,
4020,2,0,63,0,3,1,94,
3732,4,0,49,0,5,0,61,
5331,3,0,58,0,3,1,60,
673,,0,83,0,1,0,52,
6271,,0,60,0,1,1,79,
7429,3,0,81,0,4,1,41,
9776,4,0,82,0,5,0,83,
2611,5,0,84,0,5,1,77,
2076,1,0,82,0,3,0,99,
97,3,0,84,0,2,1,40,
1353,3,0,67,0,2,0,87,
7876,3,0,67,0,5,0,91,
5072,4,0,81,0,3,1,44,
4385,4,0,59,0,5,1,49,
6082,5,0,80,0,2,1,50,
9061,,0,85,0,2,1,67,
1036,4,0,48,0,4,1,49,
1998,3,0,51,0,2,0,63,
3769,1,0,69,0,4,1,70,
3944,3,0,87,0,5,1,89,
8714,5,0,67,0,3,1,85,
4006,2,0,50,0,5,0,77,
9219,3,0,56,0,5,1,80,
1100,3,0,58,0,4,0,66,
4673,5,0,70,1,5,1,43,
424,1,0,77,1,1,0,92,
4560,5,0,48,0,5,1,80,
5139,5,0,62,0,3,1,49,
4140,5,0,52,0,1,1,93,
3,3,0,53,0,2,1,55,
7616,4,0,,0,3,1,85,
9496,4,0,50,0,5,1,62,
6464,4,0,58,0,2,0,55,
2423,1,0,58,0,1,1,88,
6396,4,0,53,0,1,0,54,
3534,4,0,49,0,4,0,48,
4031,3,0,81,0,3,0,41,
5173,5,0,84,0,5,0,54,
5480,1,0,46,0,1,0,55,
5152,5,0,63,0,1,1,47,
5347,3,0,79,0,1,1,93,
7594,3,0,75,0,1,1,48,
8357,3,0,47,0,3,0,97,
1284,5,0,60,0,2,1,45,
2668,4,0,81,0,3,0,100,
6382,1,0,79,0,1,1,95,
2231,3,0,60,0,5,0,81,
8659,3,0,91,1,4,1,71,
7976,,0,64,0,1,0,57,
8192,3,0,83,0,2,0,58,
3283,4,0,,0,3,0,74,
5393,2,0,82,0,1,1,100,
8253,3,0,59,0,5,0,91,
923,5,0,50,0,1,0,47,
4766,3,0,79,0,2,0,45,
2859,5,0,64,1,4,1,58,
6243,5,0,53,0,3,0,66,
5301,5,0,57,0,2,1,79,
2111,3,0,59,0,4,1,93,
3484,5,0,77,0,3,1,56,
8891,,0,80,0,2,0,79,
9899,5,0,51,0,1,1,61,
474,3,0,50,0,5,0,65,
5863,4,0,,0,3,0,41,
8020,4,0,62,0,4,0,93,
619,4,0,49,1,4,1,78,
6644,1,0,62,0,1,1,60,
6766,4,0,49,0,5,1,86,
1434,5,0,50,0,2,1,49,
5140,3,0,88,0,1,1,74,
8953,3,0,44,0,1,0,50,
6926,5,0,74,1,5,0,72,
7566,3,0,79,0,3,0,98,
2213,3,0,60,0,4,1,91,
7045,5,0,58,0,1,0,57,
8934,1,0,77,0,5,1,60,
3660,4,0,54,0,5,0,63,
5649,5,0,,0,3,0,78,
6637,5,0,75,0,2,1,81,
7050,1,0,46,0,1,0,68,
5633,5,0,52,0,5,0,67,
9511,1,0,80,0,1,1,54,
569,3,0,65,0,3,0,53,
1768,3,0,57,0,1,1,50,
3795,5,0,85,0,1,1,50,
5637,4,0,55,0,1,0,62,
9347,5,0,46,0,2,0,41,
8764,,0,,0,5,1,83,
2451,1,0,71,0,5,0,46,
5041,3,0,77,0,5,1,55,
2087,2,0,47,0,1,0,51,
3925,3,0,79,0,3,1,98,
6720,3,0,81,0,2,0,71,
7230,5,0,60,0,1,1,45,
9655,3,0,76,0,4,1,84,
9770,2,0,64,0,5,1,54,
5861,,0,85,0,4,0,69,
4647,5,1,81,1,3,1,70,
4822,,0,73,0,3,0,72,
5178,3,0,55,0,1,1,58,
6694,3,0,46,0,4,1,63,
2582,1,0,85,0,5,1,72,
3770,4,0,56,0,1,1,80,
6181,3,0,58,0,2,0,85,
7604,1,0,72,0,3,0,93,
9434,5,0,62,0,2,1,95,
4199,3,0,79,0,2,1,86,
5404,,0,62,0,4,1,61,
4523,4,0,88,0,4,1,69,
823,4,0,82,0,1,0,88,
4047,3,0,81,0,5,1,40,
6900,1,0,47,0,3,0,65,
2217,1,0,80,0,5,0,51,
3294,2,0,49,0,3,1,82,
5460,3,0,47,0,4,0,95,
8427,,0,47,0,3,1,87,
4477,5,0,52,0,3,0,53,
9509,5,0,66,0,5,1,62,
8617,3,0,83,0,3,1,46,
2592,3,1,62,1,3,1,44,
4977,3,0,44,0,1,1,69,
1096,4,0,64,0,4,0,88,
2829,3,0,83,0,4,0,70,
9065,5,0,77,0,5,1,55,
2397,3,0,47,0,3,0,52,
9056,5,0,70,0,4,1,51,
6101,3,1,81,0,3,1,99,
82,3,0,68,0,3,0,95,
740,3,0,83,0,5,1,68,
7814,3,0,51,0,2,0,67,
9518,1,0,44,0,4,0,59,
3647,1,0,57,1,1,1,71,
6757,4,0,68,0,4,1,52,
9236,,0,46,0,2,1,41,
1375,5,0,64,0,5,0,93,
7344,3,0,,0,1,1,92,
6290,3,0,81,0,3,1,66,
9585,1,0,59,0,3,0,55,
5123,2,0,62,0,2,0,95,
6876,3,0,51,0,3,1,62,
7755,5,0,69,1,1,0,78,
9883,,1,94,1,4,0,58,
6483,3,0,83,0,1,1,79,
6810,3,0,49,0,4,1,71,
7020,4,0,89,0,5,0,87,
9208,1,0,51,0,3,1,95,
6792,5,0,58,0,3,0,94,
5933,4,0,63,0,5,1,40,
8397,3,0,74,0,3,0,44,
6671,5,0,76,1,4,0,78,
8149,5,0,,0,2,0,49,
141,3,1,84,0,3,0,90,
7665,4,0,81,0,1,1,88,
1779,1,0,,0,3,0,98,
3074,1,0,83,0,1,0,85,
1837,2,0,52,0,2,0,81,
2240,1,0,44,0,2,0,47,
